escenario,anio,municipios,pct_universo_306,nota
cuatro_capas_score_publicado,2015,0,0.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2015,0,0.0,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2015,0,0.0,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2016,0,0.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2016,0,0.0,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2016,0,0.0,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2017,0,0.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2017,0,0.0,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2017,0,0.0,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2018,0,0.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2018,0,0.0,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2018,280,91.503268,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2019,0,0.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2019,0,0.0,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2019,283,92.48366,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2020,0,0.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2020,284,92.810458,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2020,284,92.810458,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2021,0,0.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2021,284,92.810458,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2021,284,92.810458,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2022,284,92.810458,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2022,284,92.810458,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2022,284,92.810458,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2023,306,100.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2023,306,100.0,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2023,306,100.0,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2024,0,0.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2024,0,0.0,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2024,0,0.0,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2025,0,0.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2025,0,0.0,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2025,0,0.0,Diagnóstico histórico; no es el índice completo
cuatro_capas_score_publicado,2026,0,0.0,Intersección de los cuatro CSV de score existentes
cuatro_capas_input_elegible,2026,0,0.0,Requiere recalcular todos los percentiles sobre un universo fijo
tres_capas_sin_turismo,2026,0,0.0,Diagnóstico histórico; no es el índice completo
