cod_ine,nombre,anio,asequibilidad_disponible,asequibilidad_observaciones,turismo_disponible,turismo_observaciones,especulacion_disponible,especulacion_observaciones,gentrificacion_disponible,gentrificacion_observaciones,capas_disponibles,elegible_indice_completo,estado_integracion
01059,Vitoria,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
02003,Albacete,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
02009,Almansa,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
02037,Hellín,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
02081,Villarrobledo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03009,Alcoy/Alcoi,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03014,Alicante/Alacant,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03031,Benidorm,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03047,Calpe/Calp,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03050,"Campello, el",2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
03059,Crevillent,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03063,Dénia,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03065,Elche/Elx,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03066,Elda,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03082,Jávea/Xábia,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03093,Novelda,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03099,Orihuela,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03104,Petrer,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03121,Santa Pola,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03122,San Vicente del Raspeig,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03133,Torrevieja,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03139,Villajoyosa/Vila Joiosa (La),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
03140,Villena,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
04013,Almería,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
04066,Nijar,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
04079,Roquetas de Mar,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
04902,Ejido (El),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
05019,Ávila,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
06011,Almendralejo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
06015,Badajoz,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
06044,Don Benito,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
06083,Mérida,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
06153,Villanueva de la Serena,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
07011,Calvià,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
07015,Ciutadella de Menorca,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
07026,Eivissa,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
07027,Inca,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
07031,Llucmajor,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
07032,Mahón,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
07033,Manacor,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
07036,Marratxí,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
07040,Palma de Mallorca,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
07054,Santa Eulalia del Río,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08015,Badalona,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08019,Barcelona,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08056,Castelldefels,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08073,Cornellà de Llobregat,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
08077,Esplugues de Llobregat,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
