capa,anio,filas_fuente,municipios_con_fila,pct_municipios_con_fila,municipios_valor_valido,pct_municipios_valor_valido,municipios_elegibles_score,pct_municipios_elegibles_score,observaciones_temporales,cobertura_completa_306
asequibilidad,2015,280,280,91.503268,280,91.503268,280,91.503268,1,False
especulacion,2015,0,0,0.0,0,0.0,0,0.0,0,False
gentrificacion,2015,0,0,0.0,0,0.0,0,0.0,0,False
turismo,2015,0,0,0.0,0,0.0,0,0.0,0,False
asequibilidad,2016,283,283,92.48366,283,92.48366,283,92.48366,1,False
especulacion,2016,0,0,0.0,0,0.0,0,0.0,0,False
gentrificacion,2016,0,0,0.0,0,0.0,0,0.0,0,False
turismo,2016,0,0,0.0,0,0.0,0,0.0,0,False
asequibilidad,2017,284,284,92.810458,284,92.810458,284,92.810458,1,False
especulacion,2017,0,0,0.0,0,0.0,0,0.0,0,False
gentrificacion,2017,0,0,0.0,0,0.0,0,0.0,0,False
turismo,2017,0,0,0.0,0,0.0,0,0.0,0,False
asequibilidad,2018,284,284,92.810458,284,92.810458,284,92.810458,1,False
especulacion,2018,0,0,0.0,0,0.0,0,0.0,0,False
gentrificacion,2018,280,280,91.503268,280,91.503268,280,91.503268,1,False
turismo,2018,0,0,0.0,0,0.0,0,0.0,0,False
asequibilidad,2019,284,284,92.810458,284,92.810458,284,92.810458,1,False
especulacion,2019,0,0,0.0,0,0.0,0,0.0,0,False
gentrificacion,2019,283,283,92.48366,283,92.48366,283,92.48366,1,False
turismo,2019,0,0,0.0,0,0.0,0,0.0,0,False
asequibilidad,2020,306,306,100.0,306,100.0,306,100.0,1,True
especulacion,2020,0,0,0.0,0,0.0,0,0.0,0,False
gentrificacion,2020,284,284,92.810458,284,92.810458,284,92.810458,1,False
turismo,2020,306,306,100.0,306,100.0,306,100.0,1,True
asequibilidad,2021,306,306,100.0,306,100.0,306,100.0,1,True
especulacion,2021,0,0,0.0,0,0.0,0,0.0,0,False
gentrificacion,2021,284,284,92.810458,284,92.810458,284,92.810458,1,False
turismo,2021,612,306,100.0,306,100.0,306,100.0,2,True
asequibilidad,2022,306,306,100.0,306,100.0,306,100.0,1,True
especulacion,2022,306,306,100.0,306,100.0,306,100.0,1,True
gentrificacion,2022,284,284,92.810458,284,92.810458,284,92.810458,1,False
turismo,2022,612,306,100.0,306,100.0,306,100.0,2,True
asequibilidad,2023,306,306,100.0,306,100.0,306,100.0,1,True
especulacion,2023,306,306,100.0,306,100.0,306,100.0,1,True
gentrificacion,2023,306,306,100.0,306,100.0,306,100.0,1,True
turismo,2023,612,306,100.0,306,100.0,306,100.0,2,True
asequibilidad,2024,0,0,0.0,0,0.0,0,0.0,0,False
especulacion,2024,0,0,0.0,0,0.0,0,0.0,0,False
gentrificacion,2024,0,0,0.0,0,0.0,0,0.0,0,False
turismo,2024,918,306,100.0,306,100.0,306,100.0,3,True
asequibilidad,2025,0,0,0.0,0,0.0,0,0.0,0,False
especulacion,2025,0,0,0.0,0,0.0,0,0.0,0,False
gentrificacion,2025,0,0,0.0,0,0.0,0,0.0,0,False
turismo,2025,612,306,100.0,306,100.0,306,100.0,2,True
asequibilidad,2026,0,0,0.0,0,0.0,0,0.0,0,False
especulacion,2026,0,0,0.0,0,0.0,0,0.0,0,False
gentrificacion,2026,0,0,0.0,0,0.0,0,0.0,0,False
turismo,2026,306,306,100.0,306,100.0,306,100.0,1,True
