variable_1,variable_2,correlacion_spearman,anio
log_cambio_renta_neta_media_persona_3a,log_cambio_renta_neta_media_persona_3a,1.0,2018
log_cambio_renta_neta_media_persona_3a,brecha_precio_renta_3a,-0.15497646653656297,2018
log_cambio_renta_neta_media_persona_3a,transformacion_hogares_ajustada_3a,-0.11460934923678286,2018
brecha_precio_renta_3a,log_cambio_renta_neta_media_persona_3a,-0.15497646653656297,2018
brecha_precio_renta_3a,brecha_precio_renta_3a,1.0,2018
brecha_precio_renta_3a,transformacion_hogares_ajustada_3a,-0.46525964233231026,2018
transformacion_hogares_ajustada_3a,log_cambio_renta_neta_media_persona_3a,-0.11460934923678286,2018
transformacion_hogares_ajustada_3a,brecha_precio_renta_3a,-0.46525964233231026,2018
transformacion_hogares_ajustada_3a,transformacion_hogares_ajustada_3a,1.0,2018
log_cambio_renta_neta_media_persona_3a,log_cambio_renta_neta_media_persona_3a,1.0,2019
log_cambio_renta_neta_media_persona_3a,brecha_precio_renta_3a,-0.27060392578764064,2019
log_cambio_renta_neta_media_persona_3a,transformacion_hogares_ajustada_3a,0.2001541767362094,2019
brecha_precio_renta_3a,log_cambio_renta_neta_media_persona_3a,-0.27060392578764064,2019
brecha_precio_renta_3a,brecha_precio_renta_3a,1.0,2019
brecha_precio_renta_3a,transformacion_hogares_ajustada_3a,-0.33053199709966763,2019
transformacion_hogares_ajustada_3a,log_cambio_renta_neta_media_persona_3a,0.2001541767362094,2019
transformacion_hogares_ajustada_3a,brecha_precio_renta_3a,-0.33053199709966763,2019
transformacion_hogares_ajustada_3a,transformacion_hogares_ajustada_3a,1.0,2019
log_cambio_renta_neta_media_persona_3a,log_cambio_renta_neta_media_persona_3a,1.0,2020
log_cambio_renta_neta_media_persona_3a,brecha_precio_renta_3a,-0.554389981323687,2020
log_cambio_renta_neta_media_persona_3a,transformacion_hogares_ajustada_3a,0.16400686334948725,2020
brecha_precio_renta_3a,log_cambio_renta_neta_media_persona_3a,-0.554389981323687,2020
brecha_precio_renta_3a,brecha_precio_renta_3a,1.0,2020
brecha_precio_renta_3a,transformacion_hogares_ajustada_3a,-0.3175356064740571,2020
transformacion_hogares_ajustada_3a,log_cambio_renta_neta_media_persona_3a,0.16400686334948725,2020
transformacion_hogares_ajustada_3a,brecha_precio_renta_3a,-0.3175356064740571,2020
transformacion_hogares_ajustada_3a,transformacion_hogares_ajustada_3a,1.0,2020
log_cambio_renta_neta_media_persona_3a,log_cambio_renta_neta_media_persona_3a,1.0,2021
log_cambio_renta_neta_media_persona_3a,brecha_precio_renta_3a,-0.4842042397588058,2021
log_cambio_renta_neta_media_persona_3a,transformacion_hogares_ajustada_3a,0.16486790301464063,2021
brecha_precio_renta_3a,log_cambio_renta_neta_media_persona_3a,-0.4842042397588058,2021
brecha_precio_renta_3a,brecha_precio_renta_3a,1.0,2021
brecha_precio_renta_3a,transformacion_hogares_ajustada_3a,-0.24700625525764555,2021
transformacion_hogares_ajustada_3a,log_cambio_renta_neta_media_persona_3a,0.16486790301464063,2021
transformacion_hogares_ajustada_3a,brecha_precio_renta_3a,-0.24700625525764555,2021
transformacion_hogares_ajustada_3a,transformacion_hogares_ajustada_3a,1.0,2021
log_cambio_renta_neta_media_persona_3a,log_cambio_renta_neta_media_persona_3a,1.0,2022
log_cambio_renta_neta_media_persona_3a,brecha_precio_renta_3a,-0.2504532869525129,2022
log_cambio_renta_neta_media_persona_3a,transformacion_hogares_ajustada_3a,0.009439533432392351,2022
brecha_precio_renta_3a,log_cambio_renta_neta_media_persona_3a,-0.2504532869525129,2022
brecha_precio_renta_3a,brecha_precio_renta_3a,1.0,2022
brecha_precio_renta_3a,transformacion_hogares_ajustada_3a,-0.201800706845257,2022
transformacion_hogares_ajustada_3a,log_cambio_renta_neta_media_persona_3a,0.009439533432392351,2022
transformacion_hogares_ajustada_3a,brecha_precio_renta_3a,-0.201800706845257,2022
transformacion_hogares_ajustada_3a,transformacion_hogares_ajustada_3a,1.0,2022
log_cambio_renta_neta_media_persona_3a,log_cambio_renta_neta_media_persona_3a,1.0,2023
log_cambio_renta_neta_media_persona_3a,brecha_precio_renta_3a,-0.24302605967895782,2023
log_cambio_renta_neta_media_persona_3a,transformacion_hogares_ajustada_3a,-0.09703954635681382,2023
brecha_precio_renta_3a,log_cambio_renta_neta_media_persona_3a,-0.24302605967895782,2023
brecha_precio_renta_3a,brecha_precio_renta_3a,1.0,2023
brecha_precio_renta_3a,transformacion_hogares_ajustada_3a,-0.284620312129963,2023
transformacion_hogares_ajustada_3a,log_cambio_renta_neta_media_persona_3a,-0.09703954635681382,2023
transformacion_hogares_ajustada_3a,brecha_precio_renta_3a,-0.284620312129963,2023
transformacion_hogares_ajustada_3a,transformacion_hogares_ajustada_3a,1.0,2023
