cod_ine,anio,precio_m2,num_tasaciones,trimestres_disponibles,renta_media,superficie_ref_m2,precio_vivienda,ratio_asequibilidad,puntuacion_asequibilidad,metodo_normalizacion,fuente_precio,fuente_renta
01059,2015,1983.3919075144506,519,4,32848.0,90.0,178505.27167630056,5.434281285810417,9.31899641577061,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
02003,2015,1133.3341506129598,1142,4,28507.0,90.0,102000.07355516638,3.5780711248172863,50.89605734767025,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
02009,2015,720.8515384615384,130,4,23797.0,90.0,64876.63846153846,2.726252824370234,88.88888888888889,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
02037,2015,633.6738255033557,149,4,21006.0,90.0,57030.644295302016,2.7149692609398275,89.24731182795699,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
02081,2015,607.0574074074074,108,4,22830.0,90.0,54635.166666666664,2.3931303839976636,98.5663082437276,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03009,2015,669.5291066282421,347,4,23650.0,90.0,60257.61959654179,2.547890892031365,95.3405017921147,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03014,2015,1082.815261627907,2752,4,26296.0,90.0,97453.37354651162,3.70601511813628,43.727598566308245,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03031,2015,1597.210088495575,565,4,20998.0,90.0,143748.90796460176,6.845838078131335,1.075268817204301,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03047,2015,1457.0002898550727,345,4,21063.0,90.0,131130.02608695652,6.22561012614331,2.5089605734767026,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03059,2015,618.7071942446042,139,4,20005.0,90.0,55683.647482014385,2.7834865024751005,86.73835125448029,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03063,2015,1365.3911627906978,645,4,23074.0,90.0,122885.2046511628,5.3257001235660395,10.394265232974911,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
