cod_ine,anio,poblacion,log_cambio_poblacion_3a,precio_m2,log_cambio_precio_m2_3a,renta_neta_media_persona,renta_neta_media_hogar,mediana_renta_unidad_consumo,log_cambio_renta_neta_media_persona_3a,log_cambio_mediana_renta_unidad_consumo_3a,brecha_precio_renta_3a,pct_renta_alta_200,pct_renta_baja_60,cambio_pct_renta_alta_200_3a,cambio_pct_renta_baja_60_3a,sustitucion_composicion_renta_3a,indice_gini,ratio_p80_p20,cambio_indice_gini_3a,cambio_ratio_p80_p20_3a,edad_media,pct_hogares_unipersonales,pct_mayor_65,pct_menor_18,pct_poblacion_espanola,tamano_medio_hogar,cambio_edad_media_3a,cambio_pct_hogares_unipersonales_3a,cambio_pct_mayor_65_3a,cambio_pct_menor_18_3a,cambio_pct_poblacion_espanola_3a,cambio_tamano_medio_hogar_3a,transformacion_hogares_ajustada_3a,saldo_total_acum_3a,saldo_exterior_acum_3a,saldo_interior_acum_3a,salida_interior_por_1000_3a,saldo_exterior_por_1000_3a,ratio_asequibilidad,puntuacion_asequibilidad,score_presion_turistica,score_presion_especulativa,elegible_score
01059,1996,214234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
02003,1996,143799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
02009,1996,23507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
02037,1996,26021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
02081,1996,22165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03009,1996,60921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03014,1996,274577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03031,1996,50040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03047,1996,14216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03050,1996,15200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03059,1996,23781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03063,1996,27469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03065,1996,191660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03066,1996,52751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03082,1996,21393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03093,1996,23188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03099,1996,50724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03104,1996,26505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03121,1996,17099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03122,1996,34986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03133,1996,35998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03139,1996,22866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
03140,1996,31555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
04013,1996,170503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
04066,1996,15017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
04079,1996,37237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
04902,1996,47610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
05019,1996,47187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
06011,1996,27209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
06015,1996,122510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
06044,1996,31022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
06083,1996,51830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
06153,1996,23833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
07011,1996,28748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
07015,1996,21296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
07026,1996,29447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
07027,1996,21129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
07031,1996,20474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
07032,1996,21884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
07033,1996,30018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
07036,1996,16180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
07040,1996,304250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
07054,1996,19452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08015,1996,210987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08019,1996,1508805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08056,1996,38509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08073,1996,82490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08077,1996,46810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08089,1996,37985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08096,1996,50951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08101,1996,255050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08102,1996,32512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08113,1996,64385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08114,1996,17822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08121,1996,102018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08124,1996,41911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08125,1996,27068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08163,1996,17884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08169,1996,63255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08172,1996,24420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08180,1996,28903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08184,1996,54085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08187,1996,185798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08194,1996,33361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08196,1996,18332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08200,1996,78005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08205,1996,47210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08211,1996,35797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08217,1996,26805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08231,1996,18695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08245,1996,123175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08252,1996,25484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08260,1996,18124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08263,1996,22621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08266,1996,50503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08270,1996,16801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
08279,1996,163862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
