cod_ine,proyeccion_duracion_max_ola_calor_dias,proyeccion_grados_dia_refrigeracion,proyeccion_racha_seca_max_dias,tendencia_asequibilidad,n_anios_asequibilidad,inicio_asequibilidad,fin_asequibilidad,tendencia_turismo,n_anios_turismo,inicio_turismo,fin_turismo,tendencia_especulacion,n_anios_especulacion,inicio_especulacion,fin_especulacion,tendencia_gentrificacion,n_anios_gentrificacion,inicio_gentrificacion,fin_gentrificacion,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico
01059,5.309523807253156,56.130985736846924,6.985000051770892,-1.467988754210161,9,2015,2023,-0.4644808743169418,4,2020,2023,,2,2022,2023,2.2692529383755655,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
02003,27.551350566436504,202.30068638242523,19.720574707820496,-1.4485910436633964,9,2015,2023,0.5737704918032774,4,2020,2023,,2,2022,2023,2.62302916348395,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
02009,25.9914286340986,139.27914470490956,23.55904769897461,-0.26545212303772914,9,2015,2023,3.9071038251366126,4,2020,2023,,2,2022,2023,-4.462530653227519,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
02037,25.152333347532483,194.8928668721517,23.043888812594943,-1.048369344841565,9,2015,2023,3.360655737704917,4,2020,2023,,2,2022,2023,-5.663138726704969,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
02081,28.096157357427806,212.82414754231772,16.524629518720836,-0.16732657288722563,9,2015,2023,6.188524590163934,4,2020,2023,,2,2022,2023,-4.358068315665477,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03009,23.964999922116597,112.89611549377442,20.203889179229737,0.5700333848223618,9,2015,2023,-1.2568306010928971,4,2020,2023,,2,2022,2023,2.6824772295037698,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03014,26.120444377263386,180.459715423584,20.136666514078776,0.4132349576755897,9,2015,2023,-1.0109289617486301,4,2020,2023,,2,2022,2023,2.5929725462382485,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03031,25.372777716318765,146.3988127814399,21.333703189425997,-0.04583656350255734,9,2015,2023,0.24590163934426337,4,2020,2023,,2,2022,2023,-5.241460541813902,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03047,25.571666701634722,135.02041123708088,20.712500349680585,-0.49906987559585997,9,2015,2023,-2.3684757858670005e-15,4,2020,2023,,2,2022,2023,0.3466021589810495,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03050,24.422499656677246,152.19684162139893,22.386666679382323,1.9125683060109253,4,2020,2023,0.6557377049180199,4,2020,2023,,2,2022,2023,,1,2023,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03059,27.10638879140218,196.86651369730632,20.86944446563721,-0.1375423546232633,9,2015,2023,-3.360655737704919,4,2020,2023,,2,2022,2023,1.527175623108261,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03063,30.238333225250244,158.54789752960204,19.71916618347168,-0.8776794258422861,9,2015,2023,0.09562841530054911,4,2020,2023,,2,2022,2023,-5.431191472654518,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03065,28.02469707402316,194.6813405123624,21.008030527288263,0.22707524763946196,9,2015,2023,-1.1748633879781398,4,2020,2023,,2,2022,2023,-0.42589390382789344,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03066,25.49499931335449,174.19472885131836,22.436666107177736,0.7054961765888947,9,2015,2023,-1.1338797814207642,4,2020,2023,,2,2022,2023,-2.5285292243526563,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03082,29.321666606267293,153.60664965311688,19.526111475626628,-0.2007680099651509,9,2015,2023,0.04098360655737565,4,2020,2023,,2,2022,2023,3.8366531523591276,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03093,25.459999910990398,183.63768717447914,21.231665992736815,0.7497502790998283,9,2015,2023,0.06830601092896238,4,2020,2023,,2,2022,2023,-7.773851590106013,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03099,28.712681144216788,201.45296380416207,22.140362333214803,-1.1536812836702786,9,2015,2023,-0.13661202185792357,4,2020,2023,,2,2022,2023,-0.942285041224963,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03104,23.516999931335448,136.41733596801757,22.342666625976562,-0.8399693972698308,9,2015,2023,-2.349726775956285,4,2020,2023,,2,2022,2023,1.5910558911812736,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03121,28.485833168029785,173.022385597229,20.837499809265136,-1.3345882184887095,9,2015,2023,0.8743169398907138,4,2020,2023,,2,2022,2023,-1.0918390178620445,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03122,24.943333315849305,165.60798759460448,20.9524995803833,1.2020196987061316,9,2015,2023,0.6284153005464432,4,2020,2023,,2,2022,2023,1.7122076591289428,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03133,23.80000001192093,108.47466254234314,20.91083354949951,-0.43514299498688774,9,2015,2023,0.3551912568305866,4,2020,2023,,2,2022,2023,-0.2583684790455578,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03139,24.929999955495198,145.23894653320312,22.92944450378418,-2.000714437428799,9,2015,2023,-0.1639344262295097,4,2020,2023,,2,2022,2023,-0.9422850412249666,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
03140,25.28602561217088,181.84802645169773,21.73384609222412,-0.5182416536020877,9,2015,2023,1.4480874316939896,4,2020,2023,,2,2022,2023,-0.9474117163170576,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
04013,29.427129620975915,152.04556838141548,19.682962799072264,-1.8279991547809442,9,2015,2023,3.0601092896174826,4,2020,2023,,2,2022,2023,2.4212300895244745,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
04066,30.378253943579534,164.0671559833345,21.353253882271904,-4.726775956284154,4,2020,2023,1.4754098360655754,4,2020,2023,,2,2022,2023,,1,2023,2023,2023,2041-2060,SSP2-4.5,ANOMALY
04079,24.715555556615193,118.486683400472,20.18666674296061,-1.4240003429964037,9,2015,2023,0.7377049180327901,4,2020,2023,,2,2022,2023,0.4089671551873953,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
04902,27.754814942677815,132.68404210408528,18.6407413482666,-1.1105837437559378,9,2015,2023,0.628415300546448,4,2020,2023,,2,2022,2023,-9.069493521790335,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
05019,21.927407370673286,91.07427535586888,16.979999817742243,0.5397489203428815,9,2015,2023,0.8333333333333339,4,2020,2023,,2,2022,2023,-0.23926525408344634,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
06011,18.868541818857192,227.8981563568115,22.984999895095825,-0.1332329259109109,9,2015,2023,-0.8196721311475409,4,2020,2023,,2,2022,2023,-4.770318021201415,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
06015,18.06341175584232,205.38429641723633,22.502882425644817,-0.3331976901910648,9,2015,2023,-1.5573770491803276,4,2020,2023,,2,2022,2023,2.8773943479604682,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
06044,19.60213542729616,220.8859858751297,22.11343768835068,-1.2154589954233246,9,2015,2023,0.9836065573770493,4,2020,2023,,2,2022,2023,1.8303211452647226,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
06083,18.525166663169863,211.10331513977053,23.183366626739502,-0.028094769159473287,9,2015,2023,0.6830601092896155,4,2020,2023,,2,2022,2023,-2.155181512299945,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
