cod_ine,fecha,viviendas_turisticas,plazas,plazas_por_vivienda,poblacion,anio_poblacion,poblacion_desfasada,superficie_km2,vut_por_1000_hab,plazas_por_1000_hab,vut_por_km2,estacionalidad_vut,snapshots
01059,2020-08-01,152,513,3.38,253996,2020,False,276.9647636991394,0.5984346210176538,2.019716845934582,0.5488062740179982,,1
02003,2020-08-01,144,538,3.74,174336,2020,False,1126.9895778805715,0.8259911894273128,3.085994860499266,0.1277740298812771,,1
02009,2020-08-01,5,19,3.8,24511,2020,False,532.4078522833066,0.20399004528579007,0.7751621720860022,0.009391296500524534,,1
02037,2020-08-01,5,26,5.2,30200,2020,False,779.2912308152282,0.16556291390728478,0.8609271523178808,0.006416086569804494,,1
02081,2020-08-01,8,54,6.75,25116,2020,False,862.3948467175932,0.3185220576524924,2.150023889154324,0.00927649327967256,,1
03009,2020-08-01,88,306,3.48,59354,2020,False,129.95531792844858,1.4826296458536914,5.155507632173063,0.6771558209603354,,1
03014,2020-08-01,3815,16490,4.32,337482,2020,False,202.57548365447,11.304306600055707,48.861865225404614,18.83248619811857,,1
03031,2020-08-01,2514,12202,4.85,70450,2020,False,38.50769667320891,35.68488289567069,173.20085166784955,65.2856498100826,,1
03047,2020-08-01,2918,16968,5.81,23326,2020,False,23.5930358723116,125.0964588870788,727.4286204235617,123.68056471378137,,1
03050,2020-08-01,1137,6578,5.79,28930,2020,False,55.296838408922774,39.301762875907365,227.3764258555133,20.56175421082541,,1
03059,2020-08-01,37,240,6.49,29536,2020,False,104.5500662067414,1.2527085590465872,8.125677139761647,0.3538974325165395,,1
03063,2020-08-01,3416,17879,5.23,42827,2020,False,66.40053978748705,79.76276647909029,417.4702874354963,51.44536491620108,,1
03065,2020-08-01,746,3570,4.79,234765,2020,False,326.5012801286265,3.17764573083722,15.206696057759888,2.284830245400907,,1
03066,2020-08-01,28,142,5.07,52813,2020,False,45.597502136769286,0.5301724954083274,2.688731940999375,0.6140687249931862,,1
03082,2020-08-01,2826,17774,6.29,28016,2020,False,68.91381458211026,100.8709308966305,634.4231867504283,41.00774303580081,,1
03093,2020-08-01,14,84,6.0,25741,2020,False,75.72419058674367,0.5438794141641738,3.2632764849850435,0.1848814743547863,,1
03099,2020-08-01,2593,13787,5.32,78505,2020,False,365.53986934517684,33.029743328450415,175.61938730017195,7.093617461332098,,1
03104,2020-08-01,25,104,4.16,34241,2020,False,104.28114006269493,0.7301188633509536,3.037294471539967,0.23973654282039622,,1
03121,2020-08-01,1237,6581,5.32,33303,2020,False,58.22644847159209,37.14380085878149,197.60982494069603,21.24464109473405,,1
03122,2020-08-01,96,529,5.51,58978,2020,False,40.55041936842856,1.6277255925938485,8.96944623418902,2.367423111652033,,1
03133,2020-08-01,3839,18279,4.76,84667,2020,False,71.76020805614048,45.34234117188515,215.89285081554797,53.49761523819187,,1
03139,2020-08-01,759,3508,4.62,35199,2020,False,58.887993614484856,21.563112588425806,99.66192221369926,12.88887519192548,,1
03140,2020-08-01,32,149,4.66,34155,2020,False,345.0537645955768,0.9369052847313717,4.362465232030449,0.09273917077098368,,1
04013,2020-08-01,578,2473,4.28,201322,2020,False,295.7244051864175,2.871022541003964,12.28380405519516,1.9545224873667182,,1
