metodo,capa_fila,capa_columna,correlacion
pearson,asequibilidad,asequibilidad,1.0
pearson,asequibilidad,turismo,0.486450582262813
pearson,asequibilidad,especulacion,-0.01309118640830141
pearson,asequibilidad,gentrificacion,0.3177505812393216
pearson,asequibilidad,riesgo_futuro,-0.20250329513195264
pearson,turismo,asequibilidad,0.486450582262813
pearson,turismo,turismo,1.0
pearson,turismo,especulacion,0.1535619167054178
pearson,turismo,gentrificacion,0.2997448100769475
pearson,turismo,riesgo_futuro,-0.11435847962885734
pearson,especulacion,asequibilidad,-0.01309118640830141
pearson,especulacion,turismo,0.1535619167054178
pearson,especulacion,especulacion,1.0
pearson,especulacion,gentrificacion,0.15512074444745189
pearson,especulacion,riesgo_futuro,0.29999062438226265
pearson,gentrificacion,asequibilidad,0.3177505812393216
pearson,gentrificacion,turismo,0.2997448100769475
pearson,gentrificacion,especulacion,0.15512074444745189
pearson,gentrificacion,gentrificacion,1.0
pearson,gentrificacion,riesgo_futuro,0.08520612269024032
pearson,riesgo_futuro,asequibilidad,-0.20250329513195264
pearson,riesgo_futuro,turismo,-0.11435847962885734
pearson,riesgo_futuro,especulacion,0.29999062438226265
pearson,riesgo_futuro,gentrificacion,0.08520612269024032
pearson,riesgo_futuro,riesgo_futuro,1.0
spearman,asequibilidad,asequibilidad,1.0
spearman,asequibilidad,turismo,0.48546965521326335
spearman,asequibilidad,especulacion,-0.01317480515360488
spearman,asequibilidad,gentrificacion,0.31901816541290023
spearman,asequibilidad,riesgo_futuro,-0.20295476741818483
spearman,turismo,asequibilidad,0.48546965521326335
spearman,turismo,turismo,1.0
spearman,turismo,especulacion,0.1531489199477854
spearman,turismo,gentrificacion,0.30034078419737914
spearman,turismo,riesgo_futuro,-0.11489468997354746
spearman,especulacion,asequibilidad,-0.01317480515360488
spearman,especulacion,turismo,0.1531489199477854
spearman,especulacion,especulacion,1.0
spearman,especulacion,gentrificacion,0.15417939881814705
spearman,especulacion,riesgo_futuro,0.3001153836222364
spearman,gentrificacion,asequibilidad,0.31901816541290023
spearman,gentrificacion,turismo,0.30034078419737914
spearman,gentrificacion,especulacion,0.15417939881814705
spearman,gentrificacion,gentrificacion,1.0
spearman,gentrificacion,riesgo_futuro,0.08465207782654928
spearman,riesgo_futuro,asequibilidad,-0.20295476741818483
spearman,riesgo_futuro,turismo,-0.11489468997354746
spearman,riesgo_futuro,especulacion,0.3001153836222364
spearman,riesgo_futuro,gentrificacion,0.08465207782654928
spearman,riesgo_futuro,riesgo_futuro,1.0
