componente,variable,anio,archivo,fuente,comparabilidad,cambios_metodologicos,primer_anio,ultimo_anio,frecuencia,municipios_validos,observaciones,cobertura_pct,anios_ausentes
asequibilidad,ratio_asequibilidad,1996,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,1997,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,1998,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,1999,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2000,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2001,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2002,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2003,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2004,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2005,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2006,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2007,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2008,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2009,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2010,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2011,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2012,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2013,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2014,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,0,0,0.0,[]
asequibilidad,ratio_asequibilidad,2015,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,280,280,91.50326797385621,[]
asequibilidad,ratio_asequibilidad,2016,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,283,283,92.48366013071896,[]
asequibilidad,ratio_asequibilidad,2017,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,284,284,92.81045751633987,[]
asequibilidad,ratio_asequibilidad,2018,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,284,284,92.81045751633987,[]
asequibilidad,ratio_asequibilidad,2019,data/processed/indicadores_asequibilidad.csv,MIVAU valor tasado; INE Atlas 30824,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Percentiles anuales de universo variable en origen: recalcular en panel fijo.,2015,2023,anual,284,284,92.81045751633987,[]
