anio,componente,municipios_elegibles,municipios_panel
1996,asequibilidad,0,0
1996,turismo,0,0
1996,especulacion,0,0
1996,gentrificacion,0,0
1997,asequibilidad,0,0
1997,turismo,0,0
1997,especulacion,0,0
1997,gentrificacion,0,0
1998,asequibilidad,0,0
1998,turismo,0,0
1998,especulacion,0,0
1998,gentrificacion,0,0
1999,asequibilidad,0,0
1999,turismo,0,0
1999,especulacion,0,0
1999,gentrificacion,0,0
2000,asequibilidad,0,0
2000,turismo,0,0
2000,especulacion,0,0
2000,gentrificacion,0,0
2001,asequibilidad,0,0
2001,turismo,0,0
2001,especulacion,0,0
2001,gentrificacion,0,0
2002,asequibilidad,0,0
2002,turismo,0,0
2002,especulacion,0,0
2002,gentrificacion,0,0
2003,asequibilidad,0,0
2003,turismo,0,0
2003,especulacion,0,0
2003,gentrificacion,0,0
2004,asequibilidad,0,0
2004,turismo,0,0
2004,especulacion,0,0
2004,gentrificacion,0,0
2005,asequibilidad,0,0
2005,turismo,0,0
2005,especulacion,0,0
2005,gentrificacion,0,0
2006,asequibilidad,0,0
2006,turismo,0,0
2006,especulacion,0,0
2006,gentrificacion,0,0
2007,asequibilidad,0,0
2007,turismo,0,0
2007,especulacion,0,0
2007,gentrificacion,0,0
2008,asequibilidad,0,0
2008,turismo,0,0
2008,especulacion,0,0
2008,gentrificacion,0,0
2009,asequibilidad,0,0
2009,turismo,0,0
2009,especulacion,0,0
2009,gentrificacion,0,0
2010,asequibilidad,0,0
2010,turismo,0,0
2010,especulacion,0,0
2010,gentrificacion,0,0
2011,asequibilidad,0,0
2011,turismo,0,0
2011,especulacion,0,0
2011,gentrificacion,0,0
2012,asequibilidad,0,0
2012,turismo,0,0
2012,especulacion,0,0
2012,gentrificacion,0,0
2013,asequibilidad,0,0
2013,turismo,0,0
2013,especulacion,0,0
2013,gentrificacion,0,0
2014,asequibilidad,0,0
2014,turismo,0,0
2014,especulacion,0,0
2014,gentrificacion,0,0
2015,asequibilidad,276,275
2015,turismo,0,0
2015,especulacion,0,0
2015,gentrificacion,0,0
2016,asequibilidad,275,275
2016,turismo,0,0
2016,especulacion,269,269
2016,gentrificacion,0,0
2017,asequibilidad,281,277
2017,turismo,0,0
2017,especulacion,275,275
2017,gentrificacion,0,0
2018,asequibilidad,281,277
2018,turismo,0,0
2018,especulacion,275,275
2018,gentrificacion,275,275
2019,asequibilidad,281,277
2019,turismo,0,0
2019,especulacion,279,277
2019,gentrificacion,275,275
2020,asequibilidad,302,277
2020,turismo,306,277
2020,especulacion,278,277
2020,gentrificacion,279,277
2021,asequibilidad,306,277
2021,turismo,306,277
2021,especulacion,279,277
2021,gentrificacion,281,277
2022,asequibilidad,306,277
2022,turismo,306,277
2022,especulacion,302,277
2022,gentrificacion,281,277
2023,asequibilidad,306,277
2023,turismo,306,277
2023,especulacion,306,277
2023,gentrificacion,302,277
2024,asequibilidad,0,0
2024,turismo,306,277
2024,especulacion,0,0
2024,gentrificacion,0,0
2025,asequibilidad,0,0
2025,turismo,0,0
2025,especulacion,0,0
2025,gentrificacion,0,0
2026,asequibilidad,0,0
2026,turismo,0,0
2026,especulacion,0,0
2026,gentrificacion,0,0
