cod_ine,municipio,anio,precio_m2,renta_hogar,ratio_acceso,vut_agosto,tasa_rotacion,crecimiento_renta_persona_3a,brecha_precio_renta_3a,ipr,delta_ipr,rank,contribuciones,validacion,limite_trazabilidad_renta
28079,MADRID,2020,3188.870067041131,43003.0,6.67391358820784,16894,2.04765001262049,0.06847379977642541,0.08336196596863706,61.754049445865306,,74,"{""asequibilidad"": 33.37595907928389, ""especulacion"": 2.813299232736573, ""gentrificacion"": 5.530690537084399, ""turismo"": 20.034100596760446}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
28079,MADRID,2021,3310.5470217539264,43953.0,6.778814459942515,14686,2.923648971674664,0.05169441153410088,0.04246686105420822,78.32480818414322,16.570758738277917,17,"{""asequibilidad"": 33.50383631713555, ""especulacion"": 19.522591645353796, ""gentrificacion"": 5.434782608695652, ""turismo"": 19.863597612958227}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
28079,MADRID,2022,3592.7931377148466,46651.0,6.931285125599369,13087,3.1322946920241765,0.08990403790744299,0.007464365851480512,84.94245524296676,6.617647058823536,12,"{""asequibilidad"": 33.75959079283888, ""especulacion"": 22.463768115942027, ""gentrificacion"": 9.111253196930948, ""turismo"": 19.6078431372549}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
28079,MADRID,2023,3782.516299622265,49916.0,6.819986917341209,14133,2.5926464612733584,0.14048296427017312,0.030239868529944897,68.84057971014494,-16.101875532821822,50,"{""asequibilidad"": 33.88746803069054, ""especulacion"": 8.184143222506393, ""gentrificacion"": 7.41687979539642, ""turismo"": 19.352088661551576}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
08019,BARCELONA,2020,3295.3237842147223,40424.0,7.336709394897215,17280,1.3914047710605613,0.06124048306183752,0.05455930549125154,57.928388746803066,,97,"{""asequibilidad"": 34.271099744245525, ""especulacion"": 1.1935208866155158, ""gentrificacion"": 0.3836317135549872, ""turismo"": 22.08013640238704}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
08019,BARCELONA,2021,3381.1042048429313,41454.0,7.340651769090168,12930,2.043397782506606,0.057165194673245226,-0.021967542104273888,67.1994884910486,9.271099744245532,54,"{""asequibilidad"": 34.271099744245525, ""especulacion"": 10.82693947144075, ""gentrificacion"": 0.1918158567774936, ""turismo"": 21.909633418584825}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
08019,BARCELONA,2022,3555.4709045085415,43991.0,7.274041995084648,8066,2.1679107661072443,0.08560950298791728,-0.04038486743548427,68.39300937766411,1.1935208866155165,56,"{""asequibilidad"": 34.39897698209719, ""especulacion"": 10.741687979539641, ""gentrificacion"": 2.493606138107417, ""turismo"": 20.758738277919864}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
08019,BARCELONA,2023,3641.498942042318,47361.0,6.919932112578041,7531,1.9578337461097421,0.15339986498728458,-0.053508899281781916,56.77749360613811,-11.615515771526006,107,"{""asequibilidad"": 34.271099744245525, ""especulacion"": 1.023017902813299, ""gentrificacion"": 0.8951406649616369, ""turismo"": 20.58823529411765}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
33024,GIJON,2020,1431.4013357079255,31045.0,4.149657600699413,883,1.8421670974455373,0.07187646029497255,-0.00373527228071642,61.45566922421143,,75,"{""asequibilidad"": 22.25063938618926, ""especulacion"": 19.096334185848253, ""gentrificacion"": 3.484654731457801, ""turismo"": 16.624040920716112}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
33024,GIJON,2021,1494.6751548269583,32050.0,4.197215723383034,946,2.228861065422443,0.0791978051053494,0.008541664747584582,51.747655583972715,-9.708013640238711,135,"{""asequibilidad"": 22.76214833759591, ""especulacion"": 8.439897698209718, ""gentrificacion"": 3.5805626598465476, ""turismo"": 16.965046888320543}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
33024,GIJON,2022,1569.1009689922482,33731.0,4.186626166117291,1127,2.3913262394682957,0.09432226521151232,0.0250021836261691,63.45907928388747,11.711423699914754,75,"{""asequibilidad"": 22.89002557544757, ""especulacion"": 11.977834612105712, ""gentrificacion"": 10.773657289002557, ""turismo"": 17.81756180733163}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
33024,GIJON,2023,1645.210825294748,35852.0,4.130005976696623,1418,2.332247994360713,0.153655170371471,-0.014440552562526826,61.029411764705884,-2.429667519181585,78,"{""asequibilidad"": 22.378516624040923, ""especulacion"": 9.633418584825234, ""gentrificacion"": 10.517902813299234, ""turismo"": 18.49957374254049}",OK,CSV procesados Atlas; bruto 30824 no incluido en git
