cod_ine,anio,ipr_score,ipr_percentile,rank,delta_ipr,delta_since_start,rank_change,calculation_version,dataset_sha256
01059,2020,53.98550724637681,57.2463768115942,119,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
01059,2021,52.85592497868713,53.98550724637681,128,-1.1295822676896847,-1.1295822676896847,9.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
01059,2022,39.70588235294118,29.528985507246375,195,-13.150042625745947,-14.279624893435631,67.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
01059,2023,42.97740835464621,36.95652173913044,175,3.271526001705027,-11.008098891730604,-20.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02003,2020,33.16283034953112,18.115942028985508,227,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02003,2021,44.47996589940324,38.405797101449274,171,11.31713554987212,11.31713554987212,-56.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02003,2022,36.99914748508099,24.63768115942029,209,-7.4808184143222505,3.8363171355498693,38.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02003,2023,57.56606990622336,63.04347826086956,103,20.566922421142372,24.40323955669224,-106.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02009,2020,15.92071611253197,3.260869565217391,268,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02009,2021,8.248081841432224,0.36231884057971014,276,-7.672634271099746,-7.672634271099746,8.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02009,2022,7.289002557544757,1.0869565217391304,274,-0.9590792838874673,-8.631713554987213,-2.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02009,2023,5.147058823529411,0.36231884057971014,276,-2.1419437340153458,-10.773657289002559,2.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02037,2020,9.175191815856778,0.7246376811594203,275,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02037,2021,25.319693094629155,10.507246376811594,248,16.144501278772378,16.144501278772378,-27.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02037,2022,7.853793691389599,1.4492753623188406,273,-17.465899403239554,-1.3213981244671782,25.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02037,2023,8.333333333333334,1.0869565217391304,274,0.47953964194373455,-0.8418584825234436,1.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02081,2020,21.323529411764707,8.333333333333334,254,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
02081,2021,9.08994032395567,1.0869565217391304,274,-12.233589087809037,-12.233589087809037,20.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
