variable,n,n_nulos,media,desviacion,min,p25,mediana,p75,max
score_origen_asequibilidad,306,0,50.0,29.009446236968124,0.0,25.0,50.0,75.0,100.0
score_origen_turismo,306,0,50.0,26.84729986445287,0.1639344262295081,26.4344262295082,47.295081967213115,73.85245901639345,99.50819672131146
score_origen_especulacion,306,0,50.0,21.05293135330209,2.6229508196721314,32.81420765027322,50.27322404371584,65.49180327868852,96.0655737704918
score_origen_gentrificacion,306,0,50.0,12.792813870712937,10.273224043715848,42.95081967213115,50.0,57.240437158469945,93.6065573770492
score_origen_riesgo_futuro,303,3,49.91785275961414,14.030226765925082,12.959578212100832,38.74476783596813,51.58183863483757,60.88409272520603,79.87468406891489
score_normalizado_asequibilidad,306,0,50.0,29.009446236968124,0.0,25.0,50.0,75.0,100.0
score_normalizado_turismo,306,0,50.0,29.009194132216358,0.0,25.0,50.0,75.0,100.0
score_normalizado_especulacion,306,0,50.0,29.009257917962998,0.0,25.0,50.0,75.08196721311475,100.0
score_normalizado_gentrificacion,306,0,50.0,29.00916983284741,0.0,25.081967213114755,50.08196721311475,75.0,100.0
score_normalizado_riesgo_futuro,303,3,50.0,29.010855779880146,0.0,25.0,50.0,75.0,100.0
ipr5_prospectivo,303,3,49.837391116160795,16.823199701069466,11.889154272066008,38.6851590489632,48.89523395939637,62.49256323960482,90.16420584084247
ipr4_nacional_observado,306,0,50.00000000000001,19.229137836727354,5.361620057859209,36.70684667309547,49.99517839922855,63.469141755062694,93.98264223722276
