cod_ine,anio_referencia,viviendas,fuente
01059,2021,119853,"INE, Censo de Población y Viviendas 2021, tabla 59525"
02003,2021,86881,"INE, Censo de Población y Viviendas 2021, tabla 59525"
02009,2021,13292,"INE, Censo de Población y Viviendas 2021, tabla 59525"
02037,2021,16661,"INE, Censo de Población y Viviendas 2021, tabla 59525"
02081,2021,15102,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03009,2021,33876,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03014,2021,187658,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03031,2021,60479,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03047,2021,26156,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03050,2021,26801,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03059,2021,15357,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03063,2021,45237,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03065,2021,116080,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03066,2021,27488,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03082,2021,26819,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03093,2021,13780,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03099,2021,88508,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03104,2021,16474,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03121,2021,45155,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03122,2021,27151,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03133,2021,122736,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03139,2021,25780,"INE, Censo de Población y Viviendas 2021, tabla 59525"
03140,2021,18609,"INE, Censo de Población y Viviendas 2021, tabla 59525"
04013,2021,100957,"INE, Censo de Población y Viviendas 2021, tabla 59525"
04066,2021,15503,"INE, Censo de Población y Viviendas 2021, tabla 59525"
04079,2021,62150,"INE, Censo de Población y Viviendas 2021, tabla 59525"
04902,2021,40014,"INE, Censo de Población y Viviendas 2021, tabla 59525"
05019,2021,34843,"INE, Censo de Población y Viviendas 2021, tabla 59525"
06011,2021,17292,"INE, Censo de Población y Viviendas 2021, tabla 59525"
06015,2021,74594,"INE, Censo de Población y Viviendas 2021, tabla 59525"
06044,2021,21262,"INE, Censo de Población y Viviendas 2021, tabla 59525"
06083,2021,31358,"INE, Censo de Población y Viviendas 2021, tabla 59525"
06153,2021,14092,"INE, Censo de Población y Viviendas 2021, tabla 59525"
07011,2021,36492,"INE, Censo de Población y Viviendas 2021, tabla 59525"
07015,2021,17887,"INE, Censo de Población y Viviendas 2021, tabla 59525"
07026,2021,23938,"INE, Censo de Población y Viviendas 2021, tabla 59525"
07027,2021,15863,"INE, Censo de Población y Viviendas 2021, tabla 59525"
07031,2021,23312,"INE, Censo de Población y Viviendas 2021, tabla 59525"
07032,2021,15173,"INE, Censo de Población y Viviendas 2021, tabla 59525"
07033,2021,28571,"INE, Censo de Población y Viviendas 2021, tabla 59525"
07036,2021,15048,"INE, Censo de Población y Viviendas 2021, tabla 59525"
07040,2021,186482,"INE, Censo de Población y Viviendas 2021, tabla 59525"
07054,2021,22810,"INE, Censo de Población y Viviendas 2021, tabla 59525"
08015,2021,91915,"INE, Censo de Población y Viviendas 2021, tabla 59525"
08019,2021,808751,"INE, Censo de Población y Viviendas 2021, tabla 59525"
08056,2021,28708,"INE, Censo de Población y Viviendas 2021, tabla 59525"
08073,2021,37034,"INE, Censo de Población y Viviendas 2021, tabla 59525"
08077,2021,19420,"INE, Censo de Población y Viviendas 2021, tabla 59525"
08089,2021,20359,"INE, Censo de Población y Viviendas 2021, tabla 59525"
