cod_ine,anio,poblacion,fuente
01059,1996,214234,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,1998,216527,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,1999,217154,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2000,217358,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2001,218902,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2002,221270,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2003,223257,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2004,223702,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2005,226490,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2006,227568,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2007,229484,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2008,232477,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2009,235661,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2010,238247,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2011,239562,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2012,242223,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2013,241386,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2014,242082,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2015,243918,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2016,244634,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2017,246976,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2018,249176,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2019,251774,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2020,253996,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2021,253093,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2022,253672,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2023,255886,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2024,257968,"INE, Padrón municipal, tablas provinciales 2854–2909"
01059,2025,260699,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,1996,143799,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,1998,145454,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,1999,147527,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2000,149667,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2001,149507,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2002,152155,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2003,155142,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2004,156466,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2005,159518,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2006,161508,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2007,164771,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2008,166909,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2009,169716,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2010,170475,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2011,171390,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2012,172472,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2013,172693,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2014,172487,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2015,172121,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2016,172426,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2017,172816,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2018,173050,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2019,173329,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2020,174336,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2021,172722,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2022,172357,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2023,173206,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2024,174137,"INE, Padrón municipal, tablas provinciales 2854–2909"
02003,2025,175400,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,1996,23507,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,1998,23658,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,1999,23612,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2000,23775,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2001,23782,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2002,24210,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2003,24454,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2004,24689,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2005,24974,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2006,25075,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2007,25272,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2008,25591,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2009,25727,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2010,25654,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2011,25432,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2012,25374,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2013,25279,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2014,25024,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2015,24837,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2016,24800,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2017,24566,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2018,24537,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2019,24419,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2020,24511,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2021,24388,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2022,24224,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2023,24282,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2024,24281,"INE, Padrón municipal, tablas provinciales 2854–2909"
02009,2025,24615,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,1996,26021,"INE, Padrón municipal, tablas provinciales 2854–2909"
02037,1998,25978,"INE, Padrón municipal, tablas provinciales 2854–2909"
