cod_ine,anio,renta_media,fuente
01001,2015,33702.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01001,2016,34373.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01001,2017,34618.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01001,2018,34510.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01001,2019,36974.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01001,2020,36393.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01001,2021,37334.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01001,2022,38507.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01001,2023,41762.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01002,2015,34421.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01002,2016,33936.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01002,2017,34411.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01002,2018,35037.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01002,2019,36839.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01002,2020,36362.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01002,2021,37410.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01002,2022,39221.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01002,2023,42818.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01003,2015,43199.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01003,2016,46567.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01003,2017,43021.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01003,2018,43440.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01003,2019,47455.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01003,2020,48487.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01003,2021,48129.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01003,2022,51737.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01003,2023,52084.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01004,2015,32269.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01004,2016,32680.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01004,2017,31490.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01004,2018,33067.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01004,2019,33950.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01004,2020,33088.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01004,2021,34362.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01004,2022,38089.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01004,2023,39945.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
