cod_ine,anio,saldo_exterior,saldo_interior,saldo_total,fuente
01059,2021,765,-138,627,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
01059,2022,3018,-55,2963,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
01059,2023,2462,-108,2354,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
01059,2024,3305,265,3570,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02003,2021,-67,-609,-676,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02003,2022,2077,-733,1344,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02003,2023,1303,-165,1138,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02003,2024,1478,-264,1214,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02009,2021,13,-80,-67,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02009,2022,264,-149,115,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02009,2023,215,-46,169,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02009,2024,255,0,255,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02037,2021,118,17,135,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02037,2022,249,-99,150,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02037,2023,542,-102,440,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02037,2024,195,-176,19,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02081,2021,242,-103,139,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02081,2022,86,-125,-39,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02081,2023,218,-58,160,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
02081,2024,222,27,249,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03009,2021,186,5,191,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03009,2022,900,-49,851,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03009,2023,1075,82,1157,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03009,2024,1219,158,1377,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03014,2021,2575,-521,2054,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03014,2022,11980,-1217,10763,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03014,2023,9783,-1422,8361,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03014,2024,9600,-1994,7606,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03031,2021,997,-412,585,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03031,2022,3023,132,3155,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03031,2023,2282,168,2450,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03031,2024,2820,-22,2798,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03047,2021,466,-52,414,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
03047,2022,1604,26,1630,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
