cod_ine,anio,ipr,dqs,dqs_level,local_moran_i,p_value,p_value_fdr,quadrant,cluster_type,cluster_type_raw,is_significant,is_significant_raw,eligible,exclusion_reason,neighbor_count,neighbors,standardized_ipr,spatial_lag,spatial_lag_ipr,calculation_version,calculated_at
01059,2023,43.1436837029894,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
02003,2023,57.27097396335584,,,-0.5645557034125601,0.028,0.308,HL,NS,HL,False,True,True,,1,['02037'],0.24329986854764002,-2.3310065341271207,8.640308582449375,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
02009,2023,5.400192864030859,,,3.706103580975303,0.036,0.34434782608695647,LL,NS,LL,False,True,True,,2,"['03140', '30043']",-2.5025248667265094,-1.487708065513457,24.570877531340408,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
02037,2023,8.640308582449375,,,2.4278939060710307,0.064,0.44,LL,NS,NS,False,False,True,,3,"['02003', '30019', '30022']",-2.3310065341271207,-1.046320610391616,32.9090324654452,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
02081,2023,7.07810993249759,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03009,2023,36.17164898746384,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03014,2023,72.4397299903568,,,0.9631714637064717,0.09,0.5351351351351351,HH,NS,NS,False,False,True,,3,"['03050', '03065', '03122']",1.0462711101513271,0.9247789578934269,70.14464802314369,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03031,2023,80.09643201542913,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03047,2023,87.29990356798459,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03050,2023,86.32594021215044,,,2.1150938095120075,0.094,0.5442105263157895,HH,NS,NS,False,False,True,,2,"['03014', '03139']",1.781349678434424,1.1927763525799724,75.20732883317262,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03059,2023,42.352941176470594,,,-0.3347437551558059,0.536,0.874601226993865,LH,NS,NS,False,False,True,,1,['03065'],-0.5463991211287142,0.6154333937409573,64.30086788813887,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03063,2023,87.44455159112826,,,1.9749636161667166,0.124,0.6062222222222222,HH,NS,NS,False,False,True,,2,"['03082', '46181']",1.840564340879451,1.077920326285739,73.03760848601738,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03065,2023,64.30086788813887,,,0.32376777328523404,0.386,0.874601226993865,HH,NS,NS,False,False,True,,3,"['03014', '03059', '03121']",0.6154333937409573,0.5284831279093224,62.658309225329475,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03066,2023,36.25843780135005,,,1.3088257364091351,0.034,0.34,LL,NS,LL,False,True,True,,2,"['03093', '03104']",-0.8690169372085178,-1.5129763912981884,24.09353905496625,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03082,2023,79.672131147541,,,2.618439306811104,0.106,0.5687804878048781,HH,NS,NS,False,False,True,,1,['03063'],1.4291245311321072,1.840564340879451,87.44455159112826,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03093,2023,28.39922854387657,,,1.669316870992131,0.064,0.44,LL,NS,NS,False,False,True,,2,"['03066', '03104']",-1.285050988007631,-1.3049593658986318,28.02314368370299,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03099,2023,68.40887174541948,,,0.5187256249700997,0.35,0.874601226993865,HH,NS,NS,False,False,True,,2,"['03133', '30030']",0.8328941368580394,0.6256428183004452,64.49373191899713,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03104,2023,19.78784956605593,,,1.8664875839813457,0.132,0.631304347826087,LL,NS,NS,False,False,True,,2,"['03066', '03093']",-1.7409017945887457,-1.0770339626080745,32.32883317261331,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03121,2023,73.18225650916105,,,0.6650637593729286,0.526,0.874601226993865,HH,NS,NS,False,False,True,,1,['03065'],1.0855773947053544,0.6154333937409573,64.30086788813887,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03122,2023,59.80713596914176,,,0.3932280730649199,0.306,0.874601226993865,HH,NS,NS,False,False,True,,1,['03014'],0.3775538015048998,1.0462711101513271,72.4397299903568,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03133,2023,82.15043394406945,,,1.2936705739029404,0.418,0.874601226993865,HH,NS,NS,False,False,True,,1,['03099'],1.5603156367215212,0.8328941368580394,68.40887174541948,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03139,2023,77.97492767598844,,,2.374884616608099,0.118,0.59,HH,NS,NS,False,False,True,,1,['03050'],1.3392815950086177,1.781349678434424,86.32594021215044,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
03140,2023,31.648987463837997,,,2.4180842552089756,0.002,0.088,LL,NS,LL,False,True,True,,2,"['02009', '30043']",-1.1130221841802677,-2.182459406786578,11.446480231436839,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
04013,2023,59.22854387656703,,,0.010157539272142581,0.984,0.998,HH,NS,NS,False,False,True,,1,['04066'],0.3469255278264377,0.029412424026378173,53.230472516875615,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
04066,2023,53.230472516875615,,,0.010157539272142581,0.718,0.9183720930232558,HH,NS,NS,False,False,True,,1,['04013'],0.029412424026378173,0.3469255278264377,59.22854387656703,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
04079,2023,52.65188042430088,,,0.0006909755425764277,0.644,0.874601226993865,LL,NS,NS,False,False,True,,1,['04902'],-0.0012158496520843197,-0.5709017400714843,41.8900675024108,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
04902,2023,41.8900675024108,,,0.0006909755425764276,0.998,0.998,LL,NS,NS,False,False,True,,1,['04079'],-0.5709017400714843,-0.0012158496520843197,52.65188042430088,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
05019,2023,38.94889103182257,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
06011,2023,17.357762777242044,,,1.9972810556522091,0.348,0.874601226993865,LL,NS,NS,False,False,True,,1,['06083'],-1.8695405440382877,-1.0732054283982666,32.40115718418515,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
06015,2023,50.1542912246866,,,0.1371544354762891,0.148,0.6783333333333332,LL,NS,NS,False,False,True,,2,"['06083', '10037']",-0.13342789769744692,-1.032622965774304,33.16779170684667,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
06044,2023,36.181292189006754,,,1.2326760864796285,0.24,0.7946268656716418,LL,NS,NS,False,False,True,,1,['06153'],-0.8731007070323127,-1.4182839785089425,25.88235294117647,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
06083,2023,32.40115718418515,,,1.0665498618908018,0.08,0.4888888888888889,LL,NS,NS,False,False,True,,3,"['06011', '06015', '10037']",-1.0732054283982666,-0.9983363149620252,33.81549341047894,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
