cod_ine,anio,inmuebles_total,inmuebles_persona_fisica,inmuebles_sociedades,inmuebles_otras_entidades,fuente
02003,2024,87555,82771,2895,1889,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
02003,2025,87650,83108,2795,1747,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
02009,2024,12996,12235,450,311,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
02009,2025,13034,12281,451,302,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
02037,2024,14015,13094,553,368,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
02037,2025,14030,13144,522,364,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
02081,2024,14793,14035,512,246,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
02081,2025,14767,14027,499,241,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03009,2024,31688,29600,1238,850,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03009,2025,31747,29686,1218,843,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03014,2024,188150,175175,8650,4325,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03014,2025,188842,176126,8499,4217,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03031,2024,61557,54255,5208,2094,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03031,2025,61852,54703,5158,1991,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03047,2024,26361,23560,1585,1216,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03047,2025,26421,23726,1477,1218,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03050,2024,26144,23953,1290,901,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03050,2025,26212,24092,1274,846,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03059,2024,14966,14256,463,247,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03059,2025,14970,14311,427,232,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03063,2024,46219,41575,2930,1714,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03063,2025,46689,42007,3055,1627,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03065,2024,116087,109873,4206,2008,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03065,2025,116514,110513,4256,1745,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03066,2024,24817,23342,997,478,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03066,2025,24881,23474,965,442,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03082,2024,26614,24621,1490,503,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03082,2025,26886,24709,1667,510,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03093,2024,13677,12968,370,339,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03093,2025,13707,13030,353,324,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03099,2024,90008,79532,3612,6864,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03099,2025,90509,80638,3519,6352,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03104,2024,16222,15537,338,347,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03104,2025,16232,15551,342,339,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03121,2024,43884,41709,1454,721,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03121,2025,44201,42046,1465,690,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03122,2024,26773,25507,957,309,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03122,2025,26816,25604,917,295,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03133,2024,124502,113565,3599,7338,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03133,2025,124885,114411,3602,6872,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03139,2024,25562,23589,1392,581,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03139,2025,25722,23847,1314,561,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03140,2024,18519,17445,564,510,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
03140,2025,18513,17488,541,484,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
04013,2024,99734,92673,4216,2845,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
04013,2025,100641,93555,4272,2814,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
04066,2024,12419,11249,870,300,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
04066,2025,12496,11377,832,287,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
04079,2024,60942,54004,6540,398,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
04079,2025,61121,54540,6200,381,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
04902,2024,38007,34417,3242,348,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
04902,2025,38246,34991,2886,369,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
05019,2024,34356,32812,1135,409,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
05019,2025,34402,32924,1069,409,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06011,2024,17254,16135,727,392,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06011,2025,17358,16264,711,383,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06015,2024,75446,69181,2007,4258,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06015,2025,75534,69500,1819,4215,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06044,2024,20928,19928,442,558,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06044,2025,20971,19976,454,541,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06083,2024,28782,26943,755,1084,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06083,2025,29163,27016,724,1423,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
06153,2024,13719,13035,147,537,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
