cod_ine,anio,trimestre,compraventas,fuente
01059,2004,1,790,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2004,2,384,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2004,3,532,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2004,4,517,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2005,1,482,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2005,2,629,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2005,3,586,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2005,4,688,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2006,1,435,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2006,2,620,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2006,3,705,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2006,4,858,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2007,1,1149,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2007,2,914,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2007,3,673,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2007,4,631,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2008,1,792,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2008,2,867,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2008,3,797,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2008,4,548,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2009,1,628,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2009,2,625,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2009,3,444,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2009,4,1045,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2010,1,1343,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2010,2,1669,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2010,3,446,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2010,4,1106,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2011,1,392,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2011,2,593,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2011,3,599,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2011,4,1055,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2012,1,383,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2012,2,476,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2012,3,664,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2012,4,1368,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2013,1,270,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2013,2,289,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2013,3,224,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2013,4,535,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2014,1,375,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2014,2,291,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2014,3,252,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2014,4,456,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2015,1,293,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
01059,2015,2,394,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
