cod_ine,fecha,plazas,plazas_por_vivienda,viviendas_turisticas,fuente
01059,2020-08-01,513,3.38,152,"INE, Viviendas turísticas en España, tabla 39363"
02003,2020-08-01,538,3.74,144,"INE, Viviendas turísticas en España, tabla 39363"
02009,2020-08-01,19,3.8,5,"INE, Viviendas turísticas en España, tabla 39363"
02037,2020-08-01,26,5.2,5,"INE, Viviendas turísticas en España, tabla 39363"
02081,2020-08-01,54,6.75,8,"INE, Viviendas turísticas en España, tabla 39363"
03009,2020-08-01,306,3.48,88,"INE, Viviendas turísticas en España, tabla 39363"
03014,2020-08-01,16490,4.32,3815,"INE, Viviendas turísticas en España, tabla 39363"
03031,2020-08-01,12202,4.85,2514,"INE, Viviendas turísticas en España, tabla 39363"
03047,2020-08-01,16968,5.81,2918,"INE, Viviendas turísticas en España, tabla 39363"
03050,2020-08-01,6578,5.79,1137,"INE, Viviendas turísticas en España, tabla 39363"
03059,2020-08-01,240,6.49,37,"INE, Viviendas turísticas en España, tabla 39363"
03063,2020-08-01,17879,5.23,3416,"INE, Viviendas turísticas en España, tabla 39363"
03065,2020-08-01,3570,4.79,746,"INE, Viviendas turísticas en España, tabla 39363"
03066,2020-08-01,142,5.07,28,"INE, Viviendas turísticas en España, tabla 39363"
03082,2020-08-01,17774,6.29,2826,"INE, Viviendas turísticas en España, tabla 39363"
03093,2020-08-01,84,6.0,14,"INE, Viviendas turísticas en España, tabla 39363"
03099,2020-08-01,13787,5.32,2593,"INE, Viviendas turísticas en España, tabla 39363"
03104,2020-08-01,104,4.16,25,"INE, Viviendas turísticas en España, tabla 39363"
03121,2020-08-01,6581,5.32,1237,"INE, Viviendas turísticas en España, tabla 39363"
03122,2020-08-01,529,5.51,96,"INE, Viviendas turísticas en España, tabla 39363"
03133,2020-08-01,18279,4.76,3839,"INE, Viviendas turísticas en España, tabla 39363"
03139,2020-08-01,3508,4.62,759,"INE, Viviendas turísticas en España, tabla 39363"
03140,2020-08-01,149,4.66,32,"INE, Viviendas turísticas en España, tabla 39363"
04013,2020-08-01,2473,4.28,578,"INE, Viviendas turísticas en España, tabla 39363"
04066,2020-08-01,3534,5.0,707,"INE, Viviendas turísticas en España, tabla 39363"
