cod_ine,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
01059,2022,,sin_registro,EUR/mes,external_validation
02003,2022,490.0,observado,EUR/mes,external_validation
02009,2022,350.0,observado,EUR/mes,external_validation
02037,2022,320.3,observado,EUR/mes,external_validation
02081,2022,323.1,observado,EUR/mes,external_validation
03009,2022,350.0,observado,EUR/mes,external_validation
03014,2022,529.1,observado,EUR/mes,external_validation
03031,2022,500.0,observado,EUR/mes,external_validation
03047,2022,480.0,observado,EUR/mes,external_validation
03050,2022,580.0,observado,EUR/mes,external_validation
03059,2022,330.0,observado,EUR/mes,external_validation
03063,2022,500.0,observado,EUR/mes,external_validation
03065,2022,422.1,observado,EUR/mes,external_validation
03066,2022,350.7,observado,EUR/mes,external_validation
03082,2022,566.7,observado,EUR/mes,external_validation
03093,2022,350.0,observado,EUR/mes,external_validation
03099,2022,400.0,observado,EUR/mes,external_validation
03104,2022,366.3,observado,EUR/mes,external_validation
03121,2022,446.3,observado,EUR/mes,external_validation
03122,2022,500.0,observado,EUR/mes,external_validation
03133,2022,367.1,observado,EUR/mes,external_validation
03139,2022,450.0,observado,EUR/mes,external_validation
03140,2022,350.0,observado,EUR/mes,external_validation
04013,2022,480.0,observado,EUR/mes,external_validation
04066,2022,350.0,observado,EUR/mes,external_validation
04079,2022,400.0,observado,EUR/mes,external_validation
04902,2022,370.0,observado,EUR/mes,external_validation
05019,2022,421.2,observado,EUR/mes,external_validation
06011,2022,320.0,observado,EUR/mes,external_validation
06015,2022,450.0,observado,EUR/mes,external_validation
06044,2022,335.2,observado,EUR/mes,external_validation
06083,2022,390.0,observado,EUR/mes,external_validation
06153,2022,300.0,observado,EUR/mes,external_validation
07011,2022,700.0,observado,EUR/mes,external_validation
07015,2022,500.0,observado,EUR/mes,external_validation
07026,2022,850.0,observado,EUR/mes,external_validation
07027,2022,575.0,observado,EUR/mes,external_validation
07031,2022,660.0,observado,EUR/mes,external_validation
07032,2022,509.5,observado,EUR/mes,external_validation
07033,2022,500.0,observado,EUR/mes,external_validation
07036,2022,730.0,observado,EUR/mes,external_validation
07040,2022,700.0,observado,EUR/mes,external_validation
07054,2022,800.0,observado,EUR/mes,external_validation
08015,2022,675.0,observado,EUR/mes,external_validation
08019,2022,830.0,observado,EUR/mes,external_validation
08056,2022,850.0,observado,EUR/mes,external_validation
08073,2022,657.9,observado,EUR/mes,external_validation
08077,2022,748.7,observado,EUR/mes,external_validation
08089,2022,786.0,observado,EUR/mes,external_validation
08096,2022,639.3,observado,EUR/mes,external_validation
08101,2022,670.0,observado,EUR/mes,external_validation
08102,2022,488.8,observado,EUR/mes,external_validation
08113,2022,460.0,observado,EUR/mes,external_validation
08114,2022,600.0,observado,EUR/mes,external_validation
08121,2022,615.0,observado,EUR/mes,external_validation
08124,2022,625.0,observado,EUR/mes,external_validation
08125,2022,620.2,observado,EUR/mes,external_validation
08163,2022,525.0,observado,EUR/mes,external_validation
08169,2022,710.0,observado,EUR/mes,external_validation
08172,2022,680.8,observado,EUR/mes,external_validation
08180,2022,620.0,observado,EUR/mes,external_validation
08184,2022,642.8,observado,EUR/mes,external_validation
08187,2022,650.0,observado,EUR/mes,external_validation
08194,2022,687.4,observado,EUR/mes,external_validation
08196,2022,631.9,observado,EUR/mes,external_validation
08200,2022,668.8,observado,EUR/mes,external_validation
08205,2022,1000.0,observado,EUR/mes,external_validation
08211,2022,725.0,observado,EUR/mes,external_validation
08217,2022,750.0,observado,EUR/mes,external_validation
08231,2022,627.5,observado,EUR/mes,external_validation
08245,2022,600.0,observado,EUR/mes,external_validation
08252,2022,669.1,observado,EUR/mes,external_validation
08260,2022,634.0,observado,EUR/mes,external_validation
08263,2022,650.0,observado,EUR/mes,external_validation
08266,2022,700.0,observado,EUR/mes,external_validation
08270,2022,843.7,observado,EUR/mes,external_validation
08279,2022,600.0,observado,EUR/mes,external_validation
08298,2022,527.4,observado,EUR/mes,external_validation
08301,2022,706.4,observado,EUR/mes,external_validation
08305,2022,550.3,observado,EUR/mes,external_validation
08307,2022,647.0,observado,EUR/mes,external_validation
09018,2022,450.0,observado,EUR/mes,external_validation
09059,2022,492.5,observado,EUR/mes,external_validation
09219,2022,450.0,observado,EUR/mes,external_validation
10037,2022,428.6,observado,EUR/mes,external_validation
10148,2022,360.0,observado,EUR/mes,external_validation
11004,2022,467.5,observado,EUR/mes,external_validation
11006,2022,299.6,observado,EUR/mes,external_validation
11012,2022,600.0,observado,EUR/mes,external_validation
11015,2022,405.6,observado,EUR/mes,external_validation
11020,2022,454.9,observado,EUR/mes,external_validation
11022,2022,547.5,observado,EUR/mes,external_validation
11027,2022,497.8,observado,EUR/mes,external_validation
11028,2022,450.0,observado,EUR/mes,external_validation
11030,2022,466.2,observado,EUR/mes,external_validation
11031,2022,450.0,observado,EUR/mes,external_validation
11032,2022,425.0,observado,EUR/mes,external_validation
11033,2022,552.0,observado,EUR/mes,external_validation
12009,2022,368.1,observado,EUR/mes,external_validation
12027,2022,335.0,observado,EUR/mes,external_validation
12032,2022,385.0,observado,EUR/mes,external_validation
12040,2022,432.7,observado,EUR/mes,external_validation
12084,2022,334.7,observado,EUR/mes,external_validation
12126,2022,350.0,observado,EUR/mes,external_validation
12135,2022,400.0,observado,EUR/mes,external_validation
12138,2022,380.0,observado,EUR/mes,external_validation
13005,2022,380.0,observado,EUR/mes,external_validation
13034,2022,400.0,observado,EUR/mes,external_validation
13071,2022,352.9,observado,EUR/mes,external_validation
13082,2022,300.0,observado,EUR/mes,external_validation
13087,2022,340.9,observado,EUR/mes,external_validation
14021,2022,500.0,observado,EUR/mes,external_validation
14038,2022,330.0,observado,EUR/mes,external_validation
14056,2022,337.0,observado,EUR/mes,external_validation
15002,2022,375.0,observado,EUR/mes,external_validation
15005,2022,390.0,observado,EUR/mes,external_validation
15019,2022,300.0,observado,EUR/mes,external_validation
15030,2022,483.9,observado,EUR/mes,external_validation
15031,2022,425.0,observado,EUR/mes,external_validation
15036,2022,350.0,observado,EUR/mes,external_validation
15054,2022,350.0,observado,EUR/mes,external_validation
15058,2022,464.2,observado,EUR/mes,external_validation
15073,2022,320.0,observado,EUR/mes,external_validation
15078,2022,447.7,observado,EUR/mes,external_validation
16078,2022,450.0,observado,EUR/mes,external_validation
17023,2022,500.0,observado,EUR/mes,external_validation
17066,2022,470.0,observado,EUR/mes,external_validation
17079,2022,620.0,observado,EUR/mes,external_validation
17095,2022,470.5,observado,EUR/mes,external_validation
17114,2022,466.4,observado,EUR/mes,external_validation
17155,2022,481.7,observado,EUR/mes,external_validation
18017,2022,450.0,observado,EUR/mes,external_validation
18087,2022,515.2,observado,EUR/mes,external_validation
18140,2022,419.4,observado,EUR/mes,external_validation
19046,2022,500.0,observado,EUR/mes,external_validation
19130,2022,525.0,observado,EUR/mes,external_validation
20030,2022,551.5,observado,EUR/mes,external_validation
20045,2022,681.2,observado,EUR/mes,external_validation
20067,2022,656.4,observado,EUR/mes,external_validation
20069,2022,902.5,observado,EUR/mes,external_validation
21041,2022,458.3,observado,EUR/mes,external_validation
21044,2022,369.8,observado,EUR/mes,external_validation
22125,2022,459.3,observado,EUR/mes,external_validation
23005,2022,329.8,observado,EUR/mes,external_validation
23050,2022,450.0,observado,EUR/mes,external_validation
23055,2022,350.0,observado,EUR/mes,external_validation
23092,2022,354.1,observado,EUR/mes,external_validation
24089,2022,450.0,observado,EUR/mes,external_validation
24115,2022,370.5,observado,EUR/mes,external_validation
24142,2022,390.0,observado,EUR/mes,external_validation
25120,2022,470.0,observado,EUR/mes,external_validation
26089,2022,472.2,observado,EUR/mes,external_validation
27028,2022,370.0,observado,EUR/mes,external_validation
