cod_ine,nombre,anio,ipr4_nacional_observado,ipr5_prospectivo,cuartil_ipr,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
01059,Vitoria,2023,43.1436837029894,37.01981326674627,Q2,2023,,sin_registro,EUR/mes,external_validation
02003,Albacete,2023,57.27097396335584,62.23993051785908,Q3,2023,500.0,observado,EUR/mes,external_validation
02009,Almansa,2023,5.400192864030859,17.15638909998914,Q1,2023,377.9,observado,EUR/mes,external_validation
02037,Hellín,2023,8.640308582449375,20.655520573227665,Q1,2023,340.0,observado,EUR/mes,external_validation
02081,Villarrobledo,2023,7.07810993249759,18.930300727391163,Q1,2023,347.6,observado,EUR/mes,external_validation
03009,Alcoy/Alcoi,2023,36.17164898746384,39.88497448702638,Q1,2023,366.7,observado,EUR/mes,external_validation
03014,Alicante/Alacant,2023,72.4397299903568,74.58701552491586,Q4,2023,562.0,observado,EUR/mes,external_validation
03031,Benidorm,2023,80.09643201542913,77.27070893496905,Q4,2023,512.5,observado,EUR/mes,external_validation
03047,Calpe/Calp,2023,87.29990356798459,83.54266637715776,Q4,2023,500.0,observado,EUR/mes,external_validation
03050,"Campello, el",2023,86.32594021215044,88.02936706112257,Q4,2023,600.9,observado,EUR/mes,external_validation
03059,Crevillent,2023,42.352941176470594,48.21854304635762,Q2,2023,350.0,observado,EUR/mes,external_validation
03063,Dénia,2023,87.44455159112826,82.9205840842471,Q4,2023,521.5,observado,EUR/mes,external_validation
03065,Elche/Elx,2023,64.30086788813887,67.61931386385842,Q4,2023,450.0,observado,EUR/mes,external_validation
03066,Elda,2023,36.25843780135005,42.78987080664423,Q1,2023,380.0,observado,EUR/mes,external_validation
03082,Jávea/Xábia,2023,79.672131147541,80.38687438931711,Q4,2023,600.0,observado,EUR/mes,external_validation
03093,Novelda,2023,28.39922854387657,35.51351644772555,Q1,2023,394.4,observado,EUR/mes,external_validation
03099,Orihuela,2023,68.40887174541948,71.01177939420258,Q4,2023,419.6,observado,EUR/mes,external_validation
03104,Petrer,2023,19.787849566055932,25.114374117902507,Q1,2023,392.5,observado,EUR/mes,external_validation
03121,Santa Pola,2023,73.18225650916105,74.27445445662795,Q4,2023,454.2,observado,EUR/mes,external_validation
03122,San Vicente del Raspeig,2023,59.80713596914176,65.09103246118772,Q3,2023,541.7,observado,EUR/mes,external_validation
03133,Torrevieja,2023,82.15043394406945,78.02323309086961,Q4,2023,400.0,observado,EUR/mes,external_validation
03139,Villajoyosa/Vila Joiosa (La),2023,77.97492767598844,75.07007925306701,Q4,2023,475.0,observado,EUR/mes,external_validation
03140,Villena,2023,31.648987463837994,40.1632287482358,Q1,2023,369.7,observado,EUR/mes,external_validation
04013,Almería,2023,59.22854387656703,63.556182824883294,Q3,2023,500.0,observado,EUR/mes,external_validation
04066,Nijar,2023,53.230472516875615,57.61345130821843,Q3,2023,371.8,observado,EUR/mes,external_validation
04079,Roquetas de Mar,2023,52.65188042430088,52.601780479861034,Q3,2023,423.2,observado,EUR/mes,external_validation
04902,Ejido (El),2023,41.8900675024108,42.06351101943329,Q2,2023,398.2,observado,EUR/mes,external_validation
05019,Ávila,2023,38.94889103182257,39.36483552274455,Q2,2023,450.0,observado,EUR/mes,external_validation
06011,Almendralejo,2023,17.357762777242044,23.69449571164912,Q1,2023,330.0,observado,EUR/mes,external_validation
06015,Badajoz,2023,50.1542912246866,52.81326674628162,Q3,2023,460.0,observado,EUR/mes,external_validation
06044,Don Benito,2023,36.181292189006754,42.922972532841165,Q1,2023,350.0,observado,EUR/mes,external_validation
06083,Mérida,2023,32.40115718418515,38.56747367278254,Q1,2023,400.0,observado,EUR/mes,external_validation
06153,Villanueva de la Serena,2023,25.88235294117647,35.95695364238411,Q1,2023,320.0,observado,EUR/mes,external_validation
07011,Calvià,2023,88.56316297010608,83.42438388882856,Q4,2023,725.0,observado,EUR/mes,external_validation
07015,Ciutadella de Menorca,2023,84.39729990356798,86.58869829551624,Q4,2023,535.0,observado,EUR/mes,external_validation
07026,Eivissa,2023,69.18032786885246,69.73043100640538,Q4,2023,891.0,observado,EUR/mes,external_validation
07027,Inca,2023,73.32690453230472,74.14906090543914,Q4,2023,600.0,observado,EUR/mes,external_validation
07031,Llucmajor,2023,77.41562198649953,77.27678862229943,Q4,2023,700.0,observado,EUR/mes,external_validation
07032,Mahón,2023,72.6711668273867,75.87645206817935,Q4,2023,550.0,observado,EUR/mes,external_validation
07033,Manacor,2023,77.22275795564127,75.07643035501032,Q4,2023,500.0,observado,EUR/mes,external_validation
07036,Marratxí,2023,60.69431051108969,62.02062751058517,Q3,2023,751.3,observado,EUR/mes,external_validation
07040,Palma de Mallorca,2023,78.30279652844746,76.04413201606775,Q4,2023,750.0,observado,EUR/mes,external_validation
07054,Santa Eulalia del Río,2023,68.56316297010608,70.54690044511997,Q4,2023,848.8,observado,EUR/mes,external_validation
08015,Badalona,2023,61.35969141755063,56.62593638041473,Q3,2023,700.0,observado,EUR/mes,external_validation
08019,Barcelona,2023,57.29990356798458,49.598957767886226,Q3,2023,866.7,observado,EUR/mes,external_validation
08056,Castelldefels,2023,64.03085824493732,60.48583215720335,Q4,2023,875.0,observado,EUR/mes,external_validation
08073,Cornellà de Llobregat,2023,61.51398264223723,57.5517859081533,Q3,2023,695.9,observado,EUR/mes,external_validation
08077,Esplugues de Llobregat,2023,54.985535197685635,50.71121485180762,Q3,2023,767.5,observado,EUR/mes,external_validation
08089,Gavà,2023,50.97396335583414,47.45038540875041,Q3,2023,800.0,observado,EUR/mes,external_validation
