cod_ine,anio,mediana_renta_unidad_consumo,renta_neta_media_hogar,renta_neta_media_persona,pct_renta_alta_200,pct_renta_baja_60,indice_gini,ratio_p80_p20,edad_media,pct_hogares_unipersonales,pct_mayor_65,pct_menor_18,pct_poblacion_espanola,tamano_medio_hogar,fuente
01059,2015,,32848,14025,,,,,42.9,31.2,19.5,17.3,91.5,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
01059,2016,,33264,14226,,,,,43.1,31.1,19.9,17.6,91.2,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
01059,2017,,33632,14367,,,,,43.3,31.3,20.2,17.6,90.7,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
01059,2018,,34645,14708,,,,,43.4,31.2,20.5,17.6,90.1,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
01059,2019,,36091,15291,,,,,43.6,31.3,20.8,17.5,89.5,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
01059,2020,19950,35532,15110,16.4,15.1,30.9,2.7,43.9,31.5,21.1,17.4,89.5,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
01059,2021,20650,36602,15650,15.8,15.2,30.8,2.6,44.2,32.1,21.6,17.2,89.3,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
01059,2022,21350,38785,16560,14.8,16.5,31.2,2.7,44.4,32.2,21.9,17.0,88.8,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
01059,2023,23450,42117,17982,13.7,14.5,28.9,2.5,44.6,32.4,22.3,16.8,88.4,2.3,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02003,2015,13650,28507,10515,12.8,22.7,34.3,3.2,40.2,25.6,15.4,19.2,95.1,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02003,2016,14350,29160,10795,13.4,21.3,33.8,2.9,40.6,25.7,15.6,19.1,95.3,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02003,2017,15050,30173,11223,12.6,21.0,33.1,2.8,40.9,25.9,16.0,19.0,95.2,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02003,2018,15750,31209,11713,11.9,20.6,32.5,2.8,41.2,26.4,16.4,18.9,95.0,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02003,2019,16450,32522,12282,11.5,20.1,31.8,2.8,41.6,26.6,16.8,18.6,94.4,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02003,2020,16450,32861,12529,12.1,19.8,31.9,2.8,41.9,27.1,17.0,18.4,94.5,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02003,2021,17150,34160,13146,11.9,19.0,31.3,2.7,42.2,27.6,17.4,18.2,94.3,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02003,2022,18550,35722,13836,10.4,20.1,31.1,2.7,42.5,28.1,17.8,17.9,94.0,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02003,2023,19250,37457,14611,9.1,20.7,30.7,2.6,42.8,28.4,18.2,17.6,93.5,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02009,2015,12250,23797,9029,6.5,24.0,31.1,2.4,42.0,25.8,17.4,17.5,95.8,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02009,2016,12250,24855,9492,6.9,22.0,30.6,2.3,42.4,25.4,17.7,17.4,96.0,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02009,2017,12950,25469,9776,6.5,22.4,29.9,2.4,42.8,26.2,18.0,17.2,95.7,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02009,2018,13650,26559,10268,6.2,21.0,29.2,2.3,43.1,26.2,18.4,17.0,95.5,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02009,2019,14350,27661,10794,5.7,20.6,28.4,2.3,43.4,26.6,18.8,16.8,95.1,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02009,2020,14350,27375,10752,5.9,21.0,28.7,2.3,43.7,27.1,19.2,16.7,95.1,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02009,2021,15050,28408,11263,5.9,20.9,28.4,2.3,44.1,27.3,19.6,16.4,95.1,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02009,2022,15750,30012,12013,5.3,21.4,27.6,2.3,44.4,27.5,20.2,16.4,94.1,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02009,2023,17150,31858,12842,4.5,22.2,27.1,2.2,44.7,28.0,20.9,16.2,93.3,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2015,10150,21006,7627,4.6,36.2,34.5,2.8,40.5,26.5,16.6,19.5,92.9,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2016,10150,21389,7901,5.0,34.2,33.5,2.8,40.8,27.0,16.8,19.2,93.5,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2017,10850,22138,8250,4.4,33.3,31.9,2.6,41.1,28.0,16.8,18.8,92.7,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2018,11550,22918,8603,3.9,33.4,31.4,2.4,41.4,28.5,16.9,18.4,92.0,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2019,12250,24100,9081,3.7,32.9,30.7,2.5,41.7,28.7,17.0,18.1,91.9,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2020,12250,24660,9296,4.1,31.2,30.5,2.4,41.8,28.3,17.0,17.8,91.0,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2021,12950,25673,9742,4.0,30.8,29.9,2.5,42.0,28.8,17.1,17.5,90.6,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2022,13650,26969,10320,3.1,31.8,29.4,2.4,42.2,29.1,17.4,17.4,90.0,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02037,2023,14350,28793,10960,2.8,32.8,29.3,2.5,42.4,29.1,17.8,17.3,88.8,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2015,10850,22830,8112,4.3,28.6,30.4,2.6,40.4,24.6,16.8,19.4,88.7,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2016,11550,24035,8444,4.9,26.2,30.2,2.4,40.8,23.8,17.2,19.3,89.1,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2017,12250,25146,8994,4.7,24.8,29.0,2.3,40.9,24.4,17.1,19.5,88.9,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2018,12950,26048,9333,4.2,24.4,28.3,2.4,41.2,24.4,17.3,19.1,89.0,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2019,13650,27731,9942,4.2,23.8,27.6,2.4,41.5,24.5,17.4,19.0,88.9,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2020,13650,27629,10004,4.2,24.0,28.0,2.4,41.7,25.2,17.4,18.7,88.8,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2021,14350,28896,10519,3.9,22.5,27.0,2.3,42.1,25.3,17.6,18.4,88.5,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2022,15750,30331,11058,3.4,24.7,27.5,2.2,42.2,25.3,17.8,18.2,87.8,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
02081,2023,16450,31856,11716,3.0,26.1,27.2,2.3,42.6,25.7,18.3,17.7,87.3,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2015,12250,23650,9609,8.0,24.5,32.9,2.7,43.1,29.3,19.9,17.3,95.1,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2016,12950,24402,9859,8.5,23.1,32.7,2.8,43.3,29.0,20.1,17.3,94.8,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2017,13650,25190,10288,8.0,22.5,31.5,2.7,43.5,29.7,20.4,17.3,94.4,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2018,14350,26345,10786,7.4,21.5,30.7,2.5,43.8,30.2,20.6,17.1,93.7,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03009,2019,15050,27347,11220,7.0,21.6,29.9,2.4,43.9,30.3,20.8,17.0,92.9,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
