AREF;CCAANOM;PROVINCIA;CODINE;MUNINENOMBRE;NUM_SUJETOS_PASIVOS;INMUEBLES;SP_U_1I_FIS_NA;SP_U_1I_FIS_EX;SP_U_1I_SOCIEDADES;SP_U_1I_ENTIDADES_SINAL;SP_U_1I_ENTIDADES_SINPJ;SP_U_1I_ENTIDADES_EXT;SP_U_1I_AAPP;SP_U_1I_ENTIDADES_NDEF;SP_U_1I_OTROS;SP_U_5I_FIS_NA;SP_U_5I_FIS_EX;SP_U_5I_SOCIEDADES;SP_U_5I_ENTIDADES_SINAL;SP_U_5I_ENTIDADES_SINPJ;SP_U_5I_ENTIDADES_EXT;SP_U_5I_AAPP;SP_U_5I_ENTIDADES_NDEF;SP_U_5I_OTROS;SP_U_10I_FIS_NA;SP_U_10I_FIS_EX;SP_U_10I_SOCIEDADES;SP_U_10I_ENTIDADES_SINAL;SP_U_10I_ENTIDADES_SINPJ;SP_U_10I_ENTIDADES_EXT;SP_U_10I_AAPP;SP_U_10I_ENTIDADES_NDEF;SP_U_10I_OTROS;SP_U_25I_FIS_NA;SP_U_25I_FIS_EX;SP_U_25I_SOCIEDADES;SP_U_25I_ENTIDADES_SINAL;SP_U_25I_ENTIDADES_SINPJ;SP_U_25I_ENTIDADES_EXT;SP_U_25I_AAPP;SP_U_25I_ENTIDADES_NDEF;SP_U_25I_OTROS;SP_U_100I_FIS_NA;SP_U_100I_FIS_EX;SP_U_100I_SOCIEDADES;SP_U_100I_ENTIDADES_SINAL;SP_U_100I_ENTIDADES_SINPJ;SP_U_100I_ENTIDADES_EXT;SP_U_100I_AAPP;SP_U_100I_ENTIDADES_NDEF;SP_U_100I_OTROS;SP_U_MAS100_FIS_NA;SP_U_MAS100_FIS_EX;SP_U_MAS100_SOCIEDADES;SP_U_MAS100_ENTIDADES_SINAL;SP_U_MAS100_ENTIDADES_SINPJ;SP_U_MAS100_ENTIDADES_EXT;SP_U_MAS100_AAPP;SP_U_MAS100_ENTIDADES_NDEF;SP_U_MAS100_OTROS;I_U_1I_FIS_NA;I_U_1I_FIS_EX;I_U_1I_SOCIEDADES;I_U_1I_ENTIDADES_SINAL;I_U_1I_ENTIDADES_SINPJ;I_U_1I_ENTIDADES_EXT;I_U_1I_AAPP;I_U_1I_ENTIDADES_NDEF;I_U_1I_OTROS;I_U_5I_FIS_NA;I_U_5I_FIS_EX;I_U_5I_SOCIEDADES;I_U_5I_ENTIDADES_SINAL;I_U_5I_ENTIDADES_SINPJ;I_U_5I_ENTIDADES_EXT;I_U_5I_AAPP;I_U_5I_ENTIDADES_NDEF;I_U_5I_OTROS;I_U_10I_FIS_NA;I_U_10I_FIS_EX;I_U_10I_SOCIEDADES;I_U_10I_ENTIDADES_SINAL;I_U_10I_ENTIDADES_SINPJ;I_U_10I_ENTIDADES_EXT;I_U_10I_AAPP;I_U_10I_ENTIDADES_NDEF;I_U_10I_OTROS;I_U_25I_FIS_NA;I_U_25I_FIS_EX;I_U_25I_SOCIEDADES;I_U_25I_ENTIDADES_SINAL;I_U_25I_ENTIDADES_SINPJ;I_U_25I_ENTIDADES_EXT;I_U_25I_AAPP;I_U_25I_ENTIDADES_NDEF;I_U_25I_OTROS;I_U_100I_FIS_NA;I_U_100I_FIS_EX;I_U_100I_SOCIEDADES;I_U_100I_ENTIDADES_SINAL;I_U_100I_ENTIDADES_SINPJ;I_U_100I_ENTIDADES_EXT;I_U_100I_AAPP;I_U_100I_ENTIDADES_NDEF;I_U_100I_OTROS;I_U_MAS100_FIS_NA;I_U_MAS100_FIS_EX;I_U_MAS100_SOCIEDADES;I_U_MAS100_ENTIDADES_SINAL;I_U_MAS100_ENTIDADES_SINPJ;I_U_MAS100_ENTIDADES_EXT;I_U_MAS100_AAPP;I_U_MAS100_ENTIDADES_NDEF;I_U_MAS100_OTROS
2025;Andalucía;Almería;4001;Abla;895;1057;737;20;9;1;1;0;2;0;12;103;0;2;0;1;0;1;0;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;737;20;9;1;1;0;2;0;12;218;0;5;0;2;0;2;0;4;8;0;0;0;0;0;10;0;0;0;0;15;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Andalucía;Almería;4002;Abrucena;793;896;691;8;11;2;0;0;0;0;2;71;1;4;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;691;8;11;2;0;0;0;0;2;154;2;8;0;0;0;3;0;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Andalucía;Almería;4003;Adra;9743;11832;7778;463;125;4;0;0;3;1;60;1199;20;59;0;0;0;0;0;1;12;1;8;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;7778;463;125;4;0;0;3;1;60;2724;42;175;0;0;0;0;0;2;78;6;54;6;0;0;0;0;10;0;0;33;0;0;0;0;0;0;0;0;56;0;0;0;83;0;0;0;0;129;0;0;0;0;0;0
2025;Andalucía;Almería;4004;Albánchez;332;366;251;33;1;1;0;0;2;0;13;28;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251;33;1;1;0;0;2;0;13;59;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Andalucía;Almería;4005;Alboloduy;415;491;335;3;2;1;0;0;0;0;12;59;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;335;3;2;1;0;0;0;0;12;127;0;2;0;0;0;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Andalucía;Almería;4006;Albox;5260;6821;3151;965;84;1;0;0;2;0;121;822;40;36;3;0;1;0;0;4;12;0;8;0;0;0;1;0;1;0;0;3;0;0;0;1;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3151;965;84;1;0;0;2;0;121;1936;87;100;6;0;2;0;0;8;86;0;66;0;0;0;9;0;9;0;0;58;0;0;0;14;0;21;0;0;59;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0
2025;Andalucía;Almería;4007;Alcolea;443;615;393;5;3;0;0;0;1;0;7;32;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;393;5;3;0;0;0;1;0;7;68;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0
2025;Andalucía;Almería;4008;Alcóntar;306;344;250;14;3;0;0;0;1;0;10;24;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;14;3;0;0;0;1;0;10;51;2;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Andalucía;Almería;4009;Alcudia de Monteagud;130;148;103;7;2;0;0;0;0;0;3;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;7;2;0;0;0;0;0;3;31;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Andalucía;Almería;4010;Alhabia;327;383;286;3;3;0;0;0;0;0;3;29;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286;3;3;0;0;0;0;0;3;64;0;0;0;0;0;0;0;5;0;0;0;0;0;0;7;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
