cod_ine,anio,edad_media,pct_hogares_unipersonales,pct_mayor_65,pct_menor_18,pct_poblacion_espanola,tamano_medio_hogar
01059,2015,42.9,31.2,19.5,17.3,91.5,2.3
01059,2016,43.1,31.1,19.9,17.6,91.2,2.3
01059,2017,43.3,31.3,20.2,17.6,90.7,2.3
01059,2018,43.4,31.2,20.5,17.6,90.1,2.4
01059,2019,43.6,31.3,20.8,17.5,89.5,2.4
01059,2020,43.9,31.5,21.1,17.4,89.5,2.4
01059,2021,44.2,32.1,21.6,17.2,89.3,2.3
01059,2022,44.4,32.2,21.9,17.0,88.8,2.3
01059,2023,44.6,32.4,22.3,16.8,88.4,2.3
02003,2015,40.2,25.6,15.4,19.2,95.1,2.7
02003,2016,40.6,25.7,15.6,19.1,95.3,2.7
02003,2017,40.9,25.9,16.0,19.0,95.2,2.7
02003,2018,41.2,26.4,16.4,18.9,95.0,2.6
02003,2019,41.6,26.6,16.8,18.6,94.4,2.6
02003,2020,41.9,27.1,17.0,18.4,94.5,2.6
02003,2021,42.2,27.6,17.4,18.2,94.3,2.6
02003,2022,42.5,28.1,17.8,17.9,94.0,2.6
02003,2023,42.8,28.4,18.2,17.6,93.5,2.5
02009,2015,42.0,25.8,17.4,17.5,95.8,2.6
02009,2016,42.4,25.4,17.7,17.4,96.0,2.6
02009,2017,42.8,26.2,18.0,17.2,95.7,2.6
02009,2018,43.1,26.2,18.4,17.0,95.5,2.6
02009,2019,43.4,26.6,18.8,16.8,95.1,2.6
02009,2020,43.7,27.1,19.2,16.7,95.1,2.5
02009,2021,44.1,27.3,19.6,16.4,95.1,2.5
02009,2022,44.4,27.5,20.2,16.4,94.1,2.5
02009,2023,44.7,28.0,20.9,16.2,93.3,2.5
02037,2015,40.5,26.5,16.6,19.5,92.9,2.7
02037,2016,40.8,27.0,16.8,19.2,93.5,2.7
02037,2017,41.1,28.0,16.8,18.8,92.7,2.7
02037,2018,41.4,28.5,16.9,18.4,92.0,2.6
02037,2019,41.7,28.7,17.0,18.1,91.9,2.6
02037,2020,41.8,28.3,17.0,17.8,91.0,2.6
02037,2021,42.0,28.8,17.1,17.5,90.6,2.6
02037,2022,42.2,29.1,17.4,17.4,90.0,2.6
02037,2023,42.4,29.1,17.8,17.3,88.8,2.6
02081,2015,40.4,24.6,16.8,19.4,88.7,2.8
02081,2016,40.8,23.8,17.2,19.3,89.1,2.8
02081,2017,40.9,24.4,17.1,19.5,88.9,2.8
02081,2018,41.2,24.4,17.3,19.1,89.0,2.8
02081,2019,41.5,24.5,17.4,19.0,88.9,2.8
02081,2020,41.7,25.2,17.4,18.7,88.8,2.7
02081,2021,42.1,25.3,17.6,18.4,88.5,2.7
02081,2022,42.2,25.3,17.8,18.2,87.8,2.7
02081,2023,42.6,25.7,18.3,17.7,87.3,2.7
03009,2015,43.1,29.3,19.9,17.3,95.1,2.4
03009,2016,43.3,29.0,20.1,17.3,94.8,2.4
03009,2017,43.5,29.7,20.4,17.3,94.4,2.4
03009,2018,43.8,30.2,20.6,17.1,93.7,2.4
03009,2019,43.9,30.3,20.8,17.0,92.9,2.4
03009,2020,44.2,30.7,21.1,16.7,92.6,2.4
03009,2021,44.4,31.6,21.3,16.4,92.4,2.4
03009,2022,44.4,31.9,21.4,16.1,91.2,2.4
03009,2023,44.4,31.9,21.6,16.0,89.6,2.4
03014,2015,41.9,30.1,18.0,17.9,87.4,2.5
03014,2016,42.2,29.2,18.4,17.9,87.8,2.5
03014,2017,42.4,30.2,18.6,17.9,87.2,2.5
03014,2018,42.5,30.2,18.7,17.9,86.3,2.5
03014,2019,42.7,30.2,18.9,17.8,85.3,2.5
03014,2020,42.9,30.5,19.2,17.6,85.4,2.5
03014,2021,43.2,30.9,19.5,17.3,85.0,2.5
03014,2022,43.2,30.5,19.5,17.1,82.4,2.5
03014,2023,43.2,30.4,19.6,16.9,80.8,2.5
03031,2015,42.7,39.3,18.5,15.5,73.3,2.3
03031,2016,43.0,37.0,18.9,15.7,73.6,2.3
