cod_ine,anio,indice_gini,ratio_p80_p20
01059,2020,30.9,2.7
01059,2021,30.8,2.6
01059,2022,31.2,2.7
01059,2023,28.9,2.5
02003,2015,34.3,3.2
02003,2016,33.8,2.9
02003,2017,33.1,2.8
02003,2018,32.5,2.8
02003,2019,31.8,2.8
02003,2020,31.9,2.8
02003,2021,31.3,2.7
02003,2022,31.1,2.7
02003,2023,30.7,2.6
02009,2015,31.1,2.4
02009,2016,30.6,2.3
02009,2017,29.9,2.4
02009,2018,29.2,2.3
02009,2019,28.4,2.3
02009,2020,28.7,2.3
02009,2021,28.4,2.3
02009,2022,27.6,2.3
02009,2023,27.1,2.2
02037,2015,34.5,2.8
02037,2016,33.5,2.8
02037,2017,31.9,2.6
02037,2018,31.4,2.4
02037,2019,30.7,2.5
02037,2020,30.5,2.4
02037,2021,29.9,2.5
02037,2022,29.4,2.4
02037,2023,29.3,2.5
02081,2015,30.4,2.6
02081,2016,30.2,2.4
02081,2017,29.0,2.3
02081,2018,28.3,2.4
02081,2019,27.6,2.4
02081,2020,28.0,2.4
02081,2021,27.0,2.3
02081,2022,27.5,2.2
02081,2023,27.2,2.3
03009,2015,32.9,2.7
03009,2016,32.7,2.8
03009,2017,31.5,2.7
03009,2018,30.7,2.5
03009,2019,29.9,2.4
03009,2020,30.0,2.4
03009,2021,29.3,2.6
03009,2022,29.4,2.5
03009,2023,29.6,2.4
03014,2015,39.7,3.8
03014,2016,39.5,3.8
03014,2017,38.1,3.5
03014,2018,37.8,3.6
03014,2019,37.0,3.5
03014,2020,36.7,3.5
03014,2021,36.0,3.3
03014,2022,35.9,3.4
03014,2023,35.7,3.3
03031,2015,36.7,3.1
03031,2016,37.2,3.5
03031,2017,34.7,3.0
03031,2018,34.2,2.8
03031,2019,33.4,2.8
03031,2020,34.7,3.0
03031,2021,33.3,2.9
03031,2022,32.5,2.8
03031,2023,32.6,2.8
03047,2015,36.8,3.4
03047,2016,39.1,3.8
03047,2017,35.2,3.2
03047,2018,34.8,3.0
03047,2019,34.5,3.1
03047,2020,34.7,3.0
03047,2021,34.2,2.9
03047,2022,34.2,3.1
03047,2023,34.9,3.0
03050,2015,38.9,3.7
03050,2016,38.9,3.8
03050,2017,37.6,3.5
03050,2018,36.6,3.3
03050,2019,36.1,3.1
03050,2020,35.4,3.2
03050,2021,34.7,3.1
03050,2022,34.3,2.9
03050,2023,34.2,2.9
03059,2015,34.4,3.0
03059,2016,33.7,3.1
03059,2017,32.6,2.9
03059,2018,31.8,2.7
03059,2019,31.0,2.8
03059,2020,30.8,2.5
03059,2021,30.2,2.6
03059,2022,30.4,2.6
03059,2023,29.9,2.5
03063,2015,38.4,3.7
03063,2016,37.7,3.4
03063,2017,36.8,3.1
03063,2018,35.9,3.2
03063,2019,35.0,3.0
03063,2020,35.0,2.8
03063,2021,34.3,2.9
03063,2022,34.6,2.8
03063,2023,34.1,2.8
03065,2015,35.0,2.9
03065,2016,34.6,3.0
03065,2017,33.5,2.8
03065,2018,33.0,2.6
03065,2019,32.3,2.7
03065,2020,32.3,2.8
03065,2021,31.3,2.7
03065,2022,30.9,2.6
03065,2023,30.7,2.6
03066,2015,34.8,3.1
03066,2016,34.8,2.9
03066,2017,33.7,3.0
03066,2018,33.1,2.8
03066,2019,32.2,2.6
03066,2020,32.1,2.6
03066,2021,31.5,2.6
03066,2022,31.0,2.7
03066,2023,30.7,2.6
03082,2015,40.6,4.1
03082,2016,40.6,3.7
03082,2017,39.4,3.8
03082,2018,38.7,3.5
03082,2019,38.4,3.5
03082,2020,38.1,3.6
03082,2021,37.7,3.1
03082,2022,38.1,3.4
03082,2023,37.3,3.3
03093,2015,33.8,2.8
03093,2016,32.9,2.5
03093,2017,32.0,2.6
03093,2018,31.1,2.6
03093,2019,30.5,2.7
03093,2020,30.6,2.4
03093,2021,29.2,2.3
03093,2022,29.1,2.5
03093,2023,29.1,2.4
03099,2015,37.8,3.4
03099,2016,37.7,3.4
03099,2017,35.8,3.1
03099,2018,35.0,3.0
03099,2019,34.0,2.7
03099,2020,33.6,2.8
03099,2021,33.6,2.9
03099,2022,33.5,2.7
03099,2023,33.0,2.9
03104,2015,31.9,2.8
03104,2016,31.3,2.6
03104,2017,30.3,2.4
03104,2018,29.6,2.5
03104,2019,28.9,2.4
03104,2020,28.9,2.4
