cod_ine,anio,pct_renta_alta_200,pct_renta_baja_60
01059,2020,16.4,15.1
01059,2021,15.8,15.2
01059,2022,14.8,16.5
01059,2023,13.7,14.5
02003,2015,12.8,22.7
02003,2016,13.4,21.3
02003,2017,12.6,21.0
02003,2018,11.9,20.6
02003,2019,11.5,20.1
02003,2020,12.1,19.8
02003,2021,11.9,19.0
02003,2022,10.4,20.1
02003,2023,9.1,20.7
02009,2015,6.5,24.0
02009,2016,6.9,22.0
02009,2017,6.5,22.4
02009,2018,6.2,21.0
02009,2019,5.7,20.6
02009,2020,5.9,21.0
02009,2021,5.9,20.9
02009,2022,5.3,21.4
02009,2023,4.5,22.2
02037,2015,4.6,36.2
02037,2016,5.0,34.2
02037,2017,4.4,33.3
02037,2018,3.9,33.4
02037,2019,3.7,32.9
02037,2020,4.1,31.2
02037,2021,4.0,30.8
02037,2022,3.1,31.8
02037,2023,2.8,32.8
02081,2015,4.3,28.6
02081,2016,4.9,26.2
02081,2017,4.7,24.8
02081,2018,4.2,24.4
02081,2019,4.2,23.8
02081,2020,4.2,24.0
02081,2021,3.9,22.5
02081,2022,3.4,24.7
02081,2023,3.0,26.1
03009,2015,8.0,24.5
03009,2016,8.5,23.1
03009,2017,8.0,22.5
03009,2018,7.4,21.5
03009,2019,7.0,21.6
03009,2020,7.4,21.2
03009,2021,7.2,20.5
03009,2022,6.0,22.3
03009,2023,5.5,24.1
03014,2015,12.9,30.1
03014,2016,13.4,29.3
03014,2017,12.3,28.8
03014,2018,11.6,28.7
03014,2019,11.0,28.3
03014,2020,11.3,28.2
03014,2021,10.9,28.0
03014,2022,9.7,29.1
03014,2023,8.8,30.1
03031,2015,6.8,32.8
03031,2016,6.9,33.4
03031,2017,6.6,29.7
03031,2018,6.2,29.8
03031,2019,5.8,29.6
03031,2020,5.3,35.0
03031,2021,5.1,32.8
03031,2022,4.7,31.3
03031,2023,4.5,31.6
03047,2015,6.4,34.2
03047,2016,5.4,39.9
03047,2017,5.9,32.0
03047,2018,5.4,32.4
03047,2019,5.0,32.4
03047,2020,4.5,35.9
03047,2021,5.2,32.6
03047,2022,5.0,32.5
03047,2023,4.6,34.5
03050,2015,12.4,28.4
03050,2016,12.3,27.9
03050,2017,12.2,27.0
03050,2018,11.5,25.6
03050,2019,11.0,25.7
03050,2020,11.3,25.2
03050,2021,11.4,23.7
03050,2022,10.3,24.5
03050,2023,9.3,24.7
03059,2015,3.1,38.5
03059,2016,3.5,36.0
03059,2017,3.1,35.6
03059,2018,3.1,33.9
03059,2019,2.7,34.2
03059,2020,2.9,33.8
03059,2021,3.2,32.9
03059,2022,2.7,34.3
03059,2023,2.6,34.2
03063,2015,8.7,33.3
03063,2016,9.1,31.1
03063,2017,8.5,30.7
03063,2018,8.0,30.1
03063,2019,7.6,29.5
03063,2020,8.0,29.2
03063,2021,8.2,27.7
03063,2022,7.5,29.2
03063,2023,6.9,29.5
03065,2015,5.5,34.3
03065,2016,6.0,32.5
03065,2017,5.5,31.6
03065,2018,5.4,30.8
03065,2019,5.2,30.5
03065,2020,5.7,30.0
03065,2021,5.4,28.8
03065,2022,4.9,29.4
03065,2023,4.5,29.9
03066,2015,4.7,35.0
03066,2016,5.1,33.3
03066,2017,4.7,33.0
03066,2018,4.4,32.9
03066,2019,4.1,32.7
03066,2020,4.3,32.2
03066,2021,4.1,31.6
03066,2022,3.5,32.4
03066,2023,3.1,33.4
03082,2015,8.2,36.2
03082,2016,8.2,35.6
03082,2017,7.8,35.9
03082,2018,7.6,35.4
03082,2019,7.6,35.6
03082,2020,7.4,35.7
03082,2021,8.1,32.9
03082,2022,8.0,33.4
03082,2023,7.5,34.4
03093,2015,6.4,28.5
03093,2016,6.7,26.3
03093,2017,6.1,26.1
03093,2018,5.8,25.7
03093,2019,5.7,25.9
03093,2020,6.1,24.8
03093,2021,5.3,24.1
03093,2022,4.5,25.6
03093,2023,4.1,26.7
03099,2015,6.3,35.6
03099,2016,6.5,35.0
03099,2017,6.0,33.3
03099,2018,5.8,32.2
03099,2019,5.3,32.2
03099,2020,5.4,31.7
03099,2021,5.3,31.9
03099,2022,4.6,33.1
03099,2023,4.1,33.5
03104,2015,3.8,32.9
03104,2016,4.3,30.4
03104,2017,3.8,29.4
03104,2018,3.7,28.5
03104,2019,3.6,27.9
03104,2020,3.8,27.7
03104,2021,3.8,25.8
03104,2022,3.3,25.9
03104,2023,3.1,26.0
03121,2015,7.0,33.0
03121,2016,7.6,31.5
03121,2017,6.6,31.0
03121,2018,6.8,29.6
03121,2019,6.3,30.3
03121,2020,6.5,30.8
03121,2021,6.0,29.2
03121,2022,5.2,30.1
03121,2023,4.9,30.2
03122,2015,7.6,25.9
03122,2016,8.2,23.7
03122,2017,7.3,23.3
03122,2018,7.1,22.5
03122,2019,6.7,21.7
03122,2020,7.1,21.4
03122,2021,6.8,20.3
03122,2022,6.1,21.2
03122,2023,5.2,21.5
03133,2015,4.3,45.8
03133,2016,4.6,44.0
03133,2017,4.1,43.3
03133,2018,4.0,43.3
03133,2019,3.6,42.3
