cod_ine,nombre,provincia,adaptecca_id,estado_mapeo
01059,Vitoria-Gasteiz,Araba/Álava,304,ok
02003,Albacete,Albacete,1157,ok
02009,Almansa,Albacete,5180,ok
02037,Hellín,Albacete,496,ok
02081,Villarrobledo,Albacete,1317,ok
03009,Alcoi/Alcoy,Alicante/Alacant,6701,ok
03014,Alacant/Alicante,Alicante/Alacant,1430,ok
03031,Benidorm,Alicante/Alacant,176,ok
03047,Calp,Alicante/Alacant,6727,ok
03050,"Campello, el",Alicante/Alacant,105,ok
03059,Crevillent,Alicante/Alacant,6741,ok
03063,Dénia,Alicante/Alacant,1431,ok
03065,Elx/Elche,Alicante/Alacant,6721,ok
03066,Elda,Alicante/Alacant,6722,ok
03082,Xàbia/Jávea,Alicante/Alacant,1432,ok
03093,Novelda,Alicante/Alacant,6755,ok
03099,Orihuela,Alicante/Alacant,1434,ok
03104,Petrer,Alicante/Alacant,6768,ok
03121,Santa Pola,Alicante/Alacant,1247,ok
03122,Sant Vicent del Raspeig/San Vicente del Raspeig,Alicante/Alacant,6775,ok
03133,Torrevieja,Alicante/Alacant,1301,ok
03139,"Vila Joiosa, la/Villajoyosa",Alicante/Alacant,596,ok
03140,Villena,Alicante/Alacant,6788,ok
04013,Almería,Almería,1976,ok
04066,Níjar,Almería,1650,ok
04079,Roquetas de Mar,Almería,631,ok
04902,"Ejido, El",Almería,632,ok
05019,Ávila,Ávila,1245,ok
06011,Almendralejo,Badajoz,7118,ok
06015,Badajoz,Badajoz,1483,ok
06044,Don Benito,Badajoz,324,ok
06083,Mérida,Badajoz,1493,ok
06153,Villanueva de la Serena,Badajoz,7219,ok
07011,Calvià,"Balears, Illes",643,ok
07015,Ciutadella de Menorca,"Balears, Illes",567,ok
07026,Eivissa,"Balears, Illes",810,ok
07027,Inca,"Balears, Illes",3247,ok
07031,Llucmajor,"Balears, Illes",811,ok
07032,Maó,"Balears, Illes",812,ok
07033,Manacor,"Balears, Illes",813,ok
07036,Marratxí,"Balears, Illes",3216,ok
07040,Palma,"Balears, Illes",816,ok
07054,Santa Eulària des Riu,"Balears, Illes",312,ok
08015,Badalona,Barcelona,1351,ok
08019,Barcelona,Barcelona,957,ok
08056,Castelldefels,Barcelona,6044,ok
08073,Cornellà de Llobregat,Barcelona,6056,ok
08077,Esplugues de Llobregat,Barcelona,1855,ok
08089,Gavà,Barcelona,6074,ok
08096,Granollers,Barcelona,6079,ok
08101,"Hospitalet de Llobregat, L'",Barcelona,1831,ok
08102,Igualada,Barcelona,6081,ok
08113,Manresa,Barcelona,6091,ok
08114,Martorell,Barcelona,6093,ok
08121,Mataró,Barcelona,568,ok
08124,Mollet del Vallès,Barcelona,6098,ok
08125,Montcada i Reixac,Barcelona,6100,ok
08163,Pineda de Mar,Barcelona,6137,ok
08169,"Prat de Llobregat, El",Barcelona,6141,ok
08172,Premià de Mar,Barcelona,265,ok
08180,Ripollet,Barcelona,6134,ok
08184,Rubí,Barcelona,362,ok
08187,Sabadell,Barcelona,6151,ok
08194,Sant Adrià de Besòs,Barcelona,6154,ok
08196,Sant Andreu de la Barca,Barcelona,6158,ok
08200,Sant Boi de Llobregat,Barcelona,6144,ok
08205,Sant Cugat del Vallès,Barcelona,6165,ok
08211,Sant Feliu de Llobregat,Barcelona,6155,ok
08217,Sant Joan Despí,Barcelona,5862,ok
08231,Sant Pere de Ribes,Barcelona,6183,ok
08245,Santa Coloma de Gramenet,Barcelona,6191,ok
08252,Barberà del Vallès,Barcelona,6205,ok
08260,Santa Perpètua de Mogoda,Barcelona,6214,ok
08263,Sant Vicenç dels Horts,Barcelona,6216,ok
08266,Cerdanyola del Vallès,Barcelona,6217,ok
08270,Sitges,Barcelona,399,ok
08279,Terrassa,Barcelona,1375,ok
08298,Vic,Barcelona,6243,ok
08301,Viladecans,Barcelona,6245,ok
08305,Vilafranca del Penedès,Barcelona,6247,ok
08307,Vilanova i la Geltrú,Barcelona,6249,ok
09018,Aranda de Duero,Burgos,3537,ok
09059,Burgos,Burgos,3570,ok
09219,Miranda de Ebro,Burgos,3658,ok
10037,Cáceres,Cáceres,1511,ok
10148,Plasencia,Cáceres,1064,ok
11004,Algeciras,Cádiz,203,ok
11006,Arcos de la Frontera,Cádiz,205,ok
11012,Cádiz,Cádiz,206,ok
11015,Chiclana de la Frontera,Cádiz,2068,ok
11020,Jerez de la Frontera,Cádiz,2078,ok
11022,"Línea de la Concepción, La",Cádiz,2080,ok
11027,"Puerto de Santa María, El",Cádiz,279,ok
11028,Puerto Real,Cádiz,280,ok
11030,Rota,Cádiz,75,ok
11031,San Fernando,Cádiz,208,ok
11032,Sanlúcar de Barrameda,Cádiz,2083,ok
11033,San Roque,Cádiz,207,ok
12009,Almassora,Castellón/Castelló,6799,ok
12027,Benicarló,Castellón/Castelló,6811,ok
12032,Borriana/Burriana,Castellón/Castelló,6812,ok
12040,Castelló de la Plana/Castellón de la Plana,Castellón/Castelló,231,ok
12084,Onda,Castellón/Castelló,6852,ok
12126,"Vall d'Uixó, la",Castellón/Castelló,6883,ok
12135,Vila-real,Castellón/Castelló,6896,ok
12138,Vinaròs,Castellón/Castelló,1376,ok
13005,Alcázar de San Juan,Ciudad Real,1319,ok
13034,Ciudad Real,Ciudad Real,719,ok
13071,Puertollano,Ciudad Real,5308,ok
13082,Tomelloso,Ciudad Real,5319,ok
13087,Valdepeñas,Ciudad Real,479,ok
14021,Córdoba,Córdoba,690,ok
14038,Lucena,Córdoba,388,ok
14056,Puente Genil,Córdoba,1163,ok
15002,Ames,"Coruña, A",1599,ok
15005,Arteixo,"Coruña, A",384,ok
15019,Carballo,"Coruña, A",448,ok
15030,"Coruña, A","Coruña, A",1916,ok
15031,Culleredo,"Coruña, A",7433,ok
15036,Ferrol,"Coruña, A",872,ok
15054,Narón,"Coruña, A",109,ok
15058,Oleiros,"Coruña, A",262,ok
15073,Ribeira,"Coruña, A",1087,ok
15078,Santiago de Compostela,"Coruña, A",264,ok
16078,Cuenca,Cuenca,259,ok
17023,Blanes,Girona,737,ok
17066,Figueres,Girona,6288,ok
17079,Girona,Girona,6300,ok
17095,Lloret de Mar,Girona,6304,ok
17114,Olot,Girona,6319,ok
17155,Salt,Girona,6331,ok
18017,Almuñécar,Granada,2148,ok
